At round 1, test loss is: 2.3230, metrics result is [0.102283], max_norm is 0.0577, mean_norm is 0.0125
At round 2, test loss is: 2.3178, metrics result is [0.106641], max_norm is 0.0573, mean_norm is 0.0124
At round 3, test loss is: 2.3126, metrics result is [0.113108], max_norm is 0.0568, mean_norm is 0.0123
At round 4, test loss is: 2.3076, metrics result is [0.122847], max_norm is 0.0567, mean_norm is 0.0122
At round 5, test loss is: 2.3026, metrics result is [0.133135], max_norm is 0.0564, mean_norm is 0.0121
At round 6, test loss is: 2.2977, metrics result is [0.146677], max_norm is 0.0563, mean_norm is 0.0120
At round 7, test loss is: 2.2928, metrics result is [0.163337], max_norm is 0.0563, mean_norm is 0.0119
At round 8, test loss is: 2.2880, metrics result is [0.182551], max_norm is 0.0562, mean_norm is 0.0119
At round 9, test loss is: 2.2832, metrics result is [0.203438], max_norm is 0.0563, mean_norm is 0.0119
At round 10, test loss is: 2.2784, metrics result is [0.226100], max_norm is 0.0562, mean_norm is 0.0118
At round 11, test loss is: 2.2737, metrics result is [0.248307], max_norm is 0.0564, mean_norm is 0.0119
At round 12, test loss is: 2.2689, metrics result is [0.274097], max_norm is 0.0561, mean_norm is 0.0119
At round 13, test loss is: 2.2641, metrics result is [0.293661], max_norm is 0.0562, mean_norm is 0.0119
At round 14, test loss is: 2.2593, metrics result is [0.317056], max_norm is 0.0564, mean_norm is 0.0119
At round 15, test loss is: 2.2545, metrics result is [0.338438], max_norm is 0.0564, mean_norm is 0.0120
At round 16, test loss is: 2.2497, metrics result is [0.357423], max_norm is 0.0569, mean_norm is 0.0120
At round 17, test loss is: 2.2448, metrics result is [0.376518], max_norm is 0.0570, mean_norm is 0.0121
At round 18, test loss is: 2.2398, metrics result is [0.393513], max_norm is 0.0571, mean_norm is 0.0121
At round 19, test loss is: 2.2348, metrics result is [0.409202], max_norm is 0.0575, mean_norm is 0.0122
At round 20, test loss is: 2.2297, metrics result is [0.423246], max_norm is 0.0580, mean_norm is 0.0123
At round 21, test loss is: 2.2246, metrics result is [0.438462], max_norm is 0.0582, mean_norm is 0.0124
At round 22, test loss is: 2.2194, metrics result is [0.449534], max_norm is 0.0586, mean_norm is 0.0124
At round 23, test loss is: 2.2141, metrics result is [0.460387], max_norm is 0.0590, mean_norm is 0.0125
At round 24, test loss is: 2.2088, metrics result is [0.470828], max_norm is 0.0592, mean_norm is 0.0126
At round 25, test loss is: 2.2034, metrics result is [0.478340], max_norm is 0.0596, mean_norm is 0.0127
At round 26, test loss is: 2.1979, metrics result is [0.485906], max_norm is 0.0600, mean_norm is 0.0128
At round 27, test loss is: 2.1924, metrics result is [0.493407], max_norm is 0.0604, mean_norm is 0.0129
At round 28, test loss is: 2.1867, metrics result is [0.500428], max_norm is 0.0608, mean_norm is 0.0130
At round 29, test loss is: 2.1810, metrics result is [0.506248], max_norm is 0.0613, mean_norm is 0.0131
At round 30, test loss is: 2.1752, metrics result is [0.511987], max_norm is 0.0618, mean_norm is 0.0132
At round 31, test loss is: 2.1693, metrics result is [0.519533], max_norm is 0.0624, mean_norm is 0.0133
At round 32, test loss is: 2.1633, metrics result is [0.525303], max_norm is 0.0625, mean_norm is 0.0134
At round 33, test loss is: 2.1572, metrics result is [0.529755], max_norm is 0.0630, mean_norm is 0.0135
At round 34, test loss is: 2.1511, metrics result is [0.537619], max_norm is 0.0633, mean_norm is 0.0136
At round 35, test loss is: 2.1448, metrics result is [0.544555], max_norm is 0.0640, mean_norm is 0.0137
At round 36, test loss is: 2.1385, metrics result is [0.551365], max_norm is 0.0648, mean_norm is 0.0138
At round 37, test loss is: 2.1320, metrics result is [0.558033], max_norm is 0.0649, mean_norm is 0.0139
At round 38, test loss is: 2.1255, metrics result is [0.563388], max_norm is 0.0655, mean_norm is 0.0140
At round 39, test loss is: 2.1189, metrics result is [0.569151], max_norm is 0.0661, mean_norm is 0.0141
At round 40, test loss is: 2.1121, metrics result is [0.573499], max_norm is 0.0662, mean_norm is 0.0142
At round 41, test loss is: 2.1053, metrics result is [0.579250], max_norm is 0.0669, mean_norm is 0.0143
At round 42, test loss is: 2.0984, metrics result is [0.584190], max_norm is 0.0676, mean_norm is 0.0144
At round 43, test loss is: 2.0914, metrics result is [0.589911], max_norm is 0.0677, mean_norm is 0.0145
At round 44, test loss is: 2.0842, metrics result is [0.595561], max_norm is 0.0686, mean_norm is 0.0146
At round 45, test loss is: 2.0770, metrics result is [0.600648], max_norm is 0.0689, mean_norm is 0.0147
At round 46, test loss is: 2.0697, metrics result is [0.605935], max_norm is 0.0695, mean_norm is 0.0148
At round 47, test loss is: 2.0623, metrics result is [0.610201], max_norm is 0.0701, mean_norm is 0.0149
At round 48, test loss is: 2.0548, metrics result is [0.616126], max_norm is 0.0702, mean_norm is 0.0149
At round 49, test loss is: 2.0472, metrics result is [0.620724], max_norm is 0.0709, mean_norm is 0.0151
At round 50, test loss is: 2.0396, metrics result is [0.625641], max_norm is 0.0711, mean_norm is 0.0151
At round 51, test loss is: 2.0318, metrics result is [0.630611], max_norm is 0.0717, mean_norm is 0.0152
At round 52, test loss is: 2.0239, metrics result is [0.634079], max_norm is 0.0722, mean_norm is 0.0153
At round 53, test loss is: 2.0159, metrics result is [0.639560], max_norm is 0.0727, mean_norm is 0.0154
At round 54, test loss is: 2.0079, metrics result is [0.643847], max_norm is 0.0733, mean_norm is 0.0155
At round 55, test loss is: 1.9997, metrics result is [0.646730], max_norm is 0.0739, mean_norm is 0.0156
At round 56, test loss is: 1.9915, metrics result is [0.651120], max_norm is 0.0742, mean_norm is 0.0157
At round 57, test loss is: 1.9832, metrics result is [0.654589], max_norm is 0.0747, mean_norm is 0.0158
At round 58, test loss is: 1.9747, metrics result is [0.658652], max_norm is 0.0753, mean_norm is 0.0158
At round 59, test loss is: 1.9662, metrics result is [0.662527], max_norm is 0.0757, mean_norm is 0.0159
At round 60, test loss is: 1.9576, metrics result is [0.666593], max_norm is 0.0763, mean_norm is 0.0160
At round 61, test loss is: 1.9489, metrics result is [0.670784], max_norm is 0.0767, mean_norm is 0.0161
At round 62, test loss is: 1.9402, metrics result is [0.673483], max_norm is 0.0771, mean_norm is 0.0162
At round 63, test loss is: 1.9313, metrics result is [0.677195], max_norm is 0.0776, mean_norm is 0.0162
At round 64, test loss is: 1.9224, metrics result is [0.679137], max_norm is 0.0780, mean_norm is 0.0163
At round 65, test loss is: 1.9133, metrics result is [0.682135], max_norm is 0.0784, mean_norm is 0.0164
At round 66, test loss is: 1.9043, metrics result is [0.686066], max_norm is 0.0789, mean_norm is 0.0164
At round 67, test loss is: 1.8951, metrics result is [0.689859], max_norm is 0.0793, mean_norm is 0.0165
At round 68, test loss is: 1.8858, metrics result is [0.693158], max_norm is 0.0797, mean_norm is 0.0166
At round 69, test loss is: 1.8765, metrics result is [0.696362], max_norm is 0.0803, mean_norm is 0.0166
At round 70, test loss is: 1.8672, metrics result is [0.699379], max_norm is 0.0807, mean_norm is 0.0167
At round 71, test loss is: 1.8577, metrics result is [0.702444], max_norm is 0.0811, mean_norm is 0.0167
At round 72, test loss is: 1.8482, metrics result is [0.705349], max_norm is 0.0817, mean_norm is 0.0168
At round 73, test loss is: 1.8387, metrics result is [0.707149], max_norm is 0.0820, mean_norm is 0.0168
At round 74, test loss is: 1.8291, metrics result is [0.709277], max_norm is 0.0826, mean_norm is 0.0169
At round 75, test loss is: 1.8194, metrics result is [0.711592], max_norm is 0.0830, mean_norm is 0.0169
At round 76, test loss is: 1.8097, metrics result is [0.713701], max_norm is 0.0834, mean_norm is 0.0170
At round 77, test loss is: 1.8000, metrics result is [0.716183], max_norm is 0.0837, mean_norm is 0.0170
At round 78, test loss is: 1.7902, metrics result is [0.718456], max_norm is 0.0845, mean_norm is 0.0171
At round 79, test loss is: 1.7803, metrics result is [0.720959], max_norm is 0.0845, mean_norm is 0.0171
At round 80, test loss is: 1.7705, metrics result is [0.722980], max_norm is 0.0852, mean_norm is 0.0171
At round 81, test loss is: 1.7606, metrics result is [0.725672], max_norm is 0.0855, mean_norm is 0.0171
At round 82, test loss is: 1.7507, metrics result is [0.727677], max_norm is 0.0857, mean_norm is 0.0172
At round 83, test loss is: 1.7407, metrics result is [0.729287], max_norm is 0.0864, mean_norm is 0.0172
At round 84, test loss is: 1.7307, metrics result is [0.731498], max_norm is 0.0866, mean_norm is 0.0172
At round 85, test loss is: 1.7207, metrics result is [0.733999], max_norm is 0.0869, mean_norm is 0.0172
At round 86, test loss is: 1.7107, metrics result is [0.735807], max_norm is 0.0874, mean_norm is 0.0172
At round 87, test loss is: 1.7007, metrics result is [0.737628], max_norm is 0.0876, mean_norm is 0.0172
At round 88, test loss is: 1.6907, metrics result is [0.739214], max_norm is 0.0879, mean_norm is 0.0172
At round 89, test loss is: 1.6806, metrics result is [0.740204], max_norm is 0.0883, mean_norm is 0.0172
At round 90, test loss is: 1.6706, metrics result is [0.742186], max_norm is 0.0886, mean_norm is 0.0172
At round 91, test loss is: 1.6605, metrics result is [0.743876], max_norm is 0.0889, mean_norm is 0.0173
At round 92, test loss is: 1.6504, metrics result is [0.745389], max_norm is 0.0894, mean_norm is 0.0172
At round 93, test loss is: 1.6404, metrics result is [0.746510], max_norm is 0.0898, mean_norm is 0.0172
At round 94, test loss is: 1.6303, metrics result is [0.747607], max_norm is 0.0901, mean_norm is 0.0172
At round 95, test loss is: 1.6203, metrics result is [0.748709], max_norm is 0.0902, mean_norm is 0.0172
At round 96, test loss is: 1.6102, metrics result is [0.749903], max_norm is 0.0904, mean_norm is 0.0172
At round 97, test loss is: 1.6002, metrics result is [0.752808], max_norm is 0.0906, mean_norm is 0.0172
At round 98, test loss is: 1.5902, metrics result is [0.754016], max_norm is 0.0913, mean_norm is 0.0172
At round 99, test loss is: 1.5802, metrics result is [0.755699], max_norm is 0.0912, mean_norm is 0.0172
At round 100, test loss is: 1.5702, metrics result is [0.757618], max_norm is 0.0915, mean_norm is 0.0172
At round 101, test loss is: 1.5602, metrics result is [0.759320], max_norm is 0.0918, mean_norm is 0.0171
At round 102, test loss is: 1.5503, metrics result is [0.761430], max_norm is 0.0918, mean_norm is 0.0171
At round 103, test loss is: 1.5404, metrics result is [0.762950], max_norm is 0.0922, mean_norm is 0.0171
At round 104, test loss is: 1.5305, metrics result is [0.765382], max_norm is 0.0926, mean_norm is 0.0171
At round 105, test loss is: 1.5207, metrics result is [0.766400], max_norm is 0.0927, mean_norm is 0.0170
At round 106, test loss is: 1.5109, metrics result is [0.767302], max_norm is 0.0929, mean_norm is 0.0170
At round 107, test loss is: 1.4289, metrics result is [0.821725], max_norm is 0.0933, mean_norm is 0.0170
At round 108, test loss is: 1.3587, metrics result is [0.845521], max_norm is 0.0895, mean_norm is 0.0464
At round 109, test loss is: 1.2975, metrics result is [0.855741], max_norm is 0.0860, mean_norm is 0.0433
At round 110, test loss is: 1.2436, metrics result is [0.860472], max_norm is 0.0835, mean_norm is 0.0407
At round 111, test loss is: 1.1955, metrics result is [0.863819], max_norm is 0.0810, mean_norm is 0.0385
At round 112, test loss is: 1.1523, metrics result is [0.864944], max_norm is 0.0793, mean_norm is 0.0367
At round 113, test loss is: 1.1130, metrics result is [0.867072], max_norm is 0.0774, mean_norm is 0.0350
At round 114, test loss is: 1.0771, metrics result is [0.871842], max_norm is 0.0755, mean_norm is 0.0335
At round 115, test loss is: 1.0442, metrics result is [0.874477], max_norm is 0.0746, mean_norm is 0.0322
