At round 0, test loss is: 2.1799, metrics result is [0.21319023], train loss is 2.173804759979248
At round 1, test loss is: 2.1415, metrics result is [0.23130593], train loss is 2.1350765228271484
At round 2, test loss is: 2.1081, metrics result is [0.2550621], train loss is 2.1027016639709473
At round 3, test loss is: 2.0754, metrics result is [0.2791352], train loss is 2.07123064994812
At round 4, test loss is: 2.0439, metrics result is [0.3057164], train loss is 2.040893077850342
At round 5, test loss is: 2.0137, metrics result is [0.33573982], train loss is 2.010937452316284
At round 6, test loss is: 1.9845, metrics result is [0.36555183], train loss is 1.9838825464248657
At round 7, test loss is: 1.9541, metrics result is [0.39624104], train loss is 1.9547321796417236
At round 8, test loss is: 1.9279, metrics result is [0.41925785], train loss is 1.929121732711792
At round 9, test loss is: 1.9002, metrics result is [0.44775715], train loss is 1.9021763801574707
At round 10, test loss is: 1.8750, metrics result is [0.47709855], train loss is 1.8777581453323364
At round 11, test loss is: 1.8484, metrics result is [0.5006422], train loss is 1.8522921800613403
At round 12, test loss is: 1.8215, metrics result is [0.525159], train loss is 1.8263996839523315
At round 13, test loss is: 1.7978, metrics result is [0.54184556], train loss is 1.8026089668273926
At round 14, test loss is: 1.7728, metrics result is [0.5675705], train loss is 1.7790024280548096
At round 15, test loss is: 1.7476, metrics result is [0.5866088], train loss is 1.7549835443496704
At round 16, test loss is: 1.7247, metrics result is [0.6028206], train loss is 1.7325425148010254
At round 17, test loss is: 1.7010, metrics result is [0.61666626], train loss is 1.7101079225540161
At round 18, test loss is: 1.6802, metrics result is [0.6314813], train loss is 1.6893001794815063
At round 19, test loss is: 1.6565, metrics result is [0.64612466], train loss is 1.666388750076294
At round 20, test loss is: 1.6345, metrics result is [0.6595452], train loss is 1.6453919410705566
At round 21, test loss is: 1.6138, metrics result is [0.6731259], train loss is 1.6249645948410034
At round 22, test loss is: 1.5930, metrics result is [0.68465513], train loss is 1.6039732694625854
At round 23, test loss is: 1.5718, metrics result is [0.6977768], train loss is 1.5851260423660278
At round 24, test loss is: 1.5509, metrics result is [0.7059089], train loss is 1.5641249418258667
At round 25, test loss is: 1.5298, metrics result is [0.71497273], train loss is 1.5439133644104004
At round 26, test loss is: 1.5112, metrics result is [0.7250786], train loss is 1.5253326892852783
At round 27, test loss is: 1.4901, metrics result is [0.7362641], train loss is 1.5048197507858276
At round 28, test loss is: 1.4714, metrics result is [0.7414686], train loss is 1.487133502960205
At round 29, test loss is: 1.4539, metrics result is [0.7514975], train loss is 1.470014214515686
At round 30, test loss is: 1.4354, metrics result is [0.7551499], train loss is 1.4515022039413452
At round 31, test loss is: 1.4161, metrics result is [0.7630005], train loss is 1.4330581426620483
At round 32, test loss is: 1.3980, metrics result is [0.76615804], train loss is 1.4154542684555054
At round 33, test loss is: 1.3808, metrics result is [0.77321404], train loss is 1.3983511924743652
At round 34, test loss is: 1.3623, metrics result is [0.77614534], train loss is 1.3804600238800049
At round 35, test loss is: 1.3465, metrics result is [0.782761], train loss is 1.365423560142517
At round 36, test loss is: 1.3291, metrics result is [0.7875971], train loss is 1.348222017288208
At round 37, test loss is: 1.3112, metrics result is [0.79434705], train loss is 1.3309412002563477
At round 38, test loss is: 1.2968, metrics result is [0.7937908], train loss is 1.316214919090271
At round 39, test loss is: 1.2813, metrics result is [0.7972474], train loss is 1.301124930381775
At round 40, test loss is: 1.2644, metrics result is [0.8032859], train loss is 1.2850953340530396
At round 41, test loss is: 1.2505, metrics result is [0.8073608], train loss is 1.2708032131195068
At round 42, test loss is: 1.2362, metrics result is [0.80747956], train loss is 1.256998896598816
At round 43, test loss is: 1.2204, metrics result is [0.8143376], train loss is 1.241442322731018
At round 44, test loss is: 1.2061, metrics result is [0.8144125], train loss is 1.2281413078308105
At round 45, test loss is: 1.1917, metrics result is [0.81969917], train loss is 1.2140730619430542
At round 46, test loss is: 1.1772, metrics result is [0.8186057], train loss is 1.199635624885559
At round 47, test loss is: 1.1652, metrics result is [0.8224902], train loss is 1.1874016523361206
At round 48, test loss is: 1.1522, metrics result is [0.8245239], train loss is 1.1751915216445923
At round 49, test loss is: 1.1385, metrics result is [0.8257183], train loss is 1.1618809700012207
