At round 0, test loss is: 2.1687, metrics result is [0.20425667], train loss is 2.1568236351013184
At round 1, test loss is: 2.0264, metrics result is [0.2987167], train loss is 2.010793447494507
At round 2, test loss is: 1.9046, metrics result is [0.38283288], train loss is 1.8862559795379639
At round 3, test loss is: 1.7974, metrics result is [0.45277885], train loss is 1.776513695716858
At round 4, test loss is: 1.7012, metrics result is [0.5074051], train loss is 1.6786068677902222
At round 5, test loss is: 1.6151, metrics result is [0.5563054], train loss is 1.5910165309906006
At round 6, test loss is: 1.5372, metrics result is [0.59952426], train loss is 1.5123158693313599
At round 7, test loss is: 1.4650, metrics result is [0.6345241], train loss is 1.4394538402557373
At round 8, test loss is: 1.4002, metrics result is [0.6613358], train loss is 1.3734512329101562
At round 9, test loss is: 1.3403, metrics result is [0.6909329], train loss is 1.3127163648605347
At round 10, test loss is: 1.2846, metrics result is [0.7180648], train loss is 1.2564928531646729
At round 11, test loss is: 1.2329, metrics result is [0.74275047], train loss is 1.2044891119003296
At round 12, test loss is: 1.1843, metrics result is [0.7638291], train loss is 1.1557025909423828
At round 13, test loss is: 1.1407, metrics result is [0.7797837], train loss is 1.111088514328003
At round 14, test loss is: 1.0988, metrics result is [0.7980158], train loss is 1.0689305067062378
At round 15, test loss is: 1.0607, metrics result is [0.80666864], train loss is 1.0303765535354614
At round 16, test loss is: 1.0237, metrics result is [0.8192089], train loss is 0.993538498878479
At round 17, test loss is: 0.9890, metrics result is [0.826603], train loss is 0.9589271545410156
At round 18, test loss is: 0.9576, metrics result is [0.8357212], train loss is 0.9268398880958557
At round 19, test loss is: 0.9273, metrics result is [0.84456], train loss is 0.896282434463501
At round 20, test loss is: 0.8989, metrics result is [0.8541739], train loss is 0.8676807880401611
At round 21, test loss is: 0.8723, metrics result is [0.86043364], train loss is 0.8413093090057373
At round 22, test loss is: 0.8478, metrics result is [0.8658793], train loss is 0.81600022315979
At round 23, test loss is: 0.8243, metrics result is [0.8713825], train loss is 0.7924954891204834
At round 24, test loss is: 0.8020, metrics result is [0.8723448], train loss is 0.7704513669013977
At round 25, test loss is: 0.7805, metrics result is [0.87677324], train loss is 0.748818576335907
At round 26, test loss is: 0.7612, metrics result is [0.88308036], train loss is 0.7290639281272888
At round 27, test loss is: 0.7426, metrics result is [0.881082], train loss is 0.71014803647995
At round 28, test loss is: 0.7242, metrics result is [0.88776934], train loss is 0.6920526027679443
At round 29, test loss is: 0.7074, metrics result is [0.89111036], train loss is 0.6752291917800903
At round 30, test loss is: 0.6917, metrics result is [0.8922627], train loss is 0.6589958667755127
At round 31, test loss is: 0.6759, metrics result is [0.8936781], train loss is 0.6433050632476807
At round 32, test loss is: 0.6618, metrics result is [0.8960353], train loss is 0.6286922693252563
