At round 0, test loss is: 2.1688, metrics result is [0.24595793], train loss is 2.16890549659729
At round 1, test loss is: 2.0704, metrics result is [0.34292808], train loss is 2.070267915725708
At round 2, test loss is: 1.9752, metrics result is [0.4274382], train loss is 1.9752416610717773
At round 3, test loss is: 1.8825, metrics result is [0.49489346], train loss is 1.8816889524459839
At round 4, test loss is: 1.7906, metrics result is [0.5556305], train loss is 1.789244532585144
At round 5, test loss is: 1.6966, metrics result is [0.60280746], train loss is 1.6953915357589722
At round 6, test loss is: 1.6041, metrics result is [0.6433801], train loss is 1.6022889614105225
At round 7, test loss is: 1.5150, metrics result is [0.67530763], train loss is 1.512657642364502
At round 8, test loss is: 1.4279, metrics result is [0.7048997], train loss is 1.4250514507293701
At round 9, test loss is: 1.3460, metrics result is [0.7323594], train loss is 1.3418835401535034
At round 10, test loss is: 1.2682, metrics result is [0.75363564], train loss is 1.2635717391967773
At round 11, test loss is: 1.1935, metrics result is [0.77348924], train loss is 1.1894209384918213
At round 12, test loss is: 1.1266, metrics result is [0.7887947], train loss is 1.122122883796692
At round 13, test loss is: 1.0620, metrics result is [0.80671114], train loss is 1.057563304901123
At round 14, test loss is: 1.0020, metrics result is [0.8293245], train loss is 0.9986449480056763
At round 15, test loss is: 0.9487, metrics result is [0.83394945], train loss is 0.9442463517189026
At round 16, test loss is: 0.8980, metrics result is [0.84161735], train loss is 0.8932085633277893
At round 17, test loss is: 0.8511, metrics result is [0.8527598], train loss is 0.8457693457603455
At round 18, test loss is: 0.8054, metrics result is [0.8652265], train loss is 0.8006564378738403
At round 19, test loss is: 0.7641, metrics result is [0.87526596], train loss is 0.7591612935066223
At round 20, test loss is: 0.7258, metrics result is [0.8801818], train loss is 0.7202126383781433
At round 21, test loss is: 0.6897, metrics result is [0.8844485], train loss is 0.6833813190460205
At round 22, test loss is: 0.6570, metrics result is [0.89084417], train loss is 0.6503761410713196
At round 23, test loss is: 0.6259, metrics result is [0.8962614], train loss is 0.6189342141151428
At round 24, test loss is: 0.5966, metrics result is [0.90089524], train loss is 0.5891032814979553
At round 25, test loss is: 0.5692, metrics result is [0.90773356], train loss is 0.5617800951004028
At round 26, test loss is: 0.5451, metrics result is [0.9092413], train loss is 0.5362655520439148
At round 27, test loss is: 0.5223, metrics result is [0.91223806], train loss is 0.5120726227760315
At round 28, test loss is: 0.5007, metrics result is [0.91728365], train loss is 0.489888995885849
At round 29, test loss is: 0.4813, metrics result is [0.9184161], train loss is 0.46935296058654785
At round 30, test loss is: 0.4625, metrics result is [0.9221734], train loss is 0.45003944635391235
At round 31, test loss is: 0.4452, metrics result is [0.92369276], train loss is 0.4323039650917053
At round 32, test loss is: 0.4275, metrics result is [0.9266147], train loss is 0.41540107131004333
At round 33, test loss is: 0.4130, metrics result is [0.92996275], train loss is 0.39884597063064575
At round 34, test loss is: 0.3980, metrics result is [0.9316996], train loss is 0.3839403986930847
At round 35, test loss is: 0.3849, metrics result is [0.9321442], train loss is 0.3704186677932739
At round 36, test loss is: 0.3707, metrics result is [0.9341674], train loss is 0.35751408338546753
At round 37, test loss is: 0.3598, metrics result is [0.93525434], train loss is 0.34527263045310974
At round 38, test loss is: 0.3499, metrics result is [0.93255705], train loss is 0.33378535509109497
At round 39, test loss is: 0.3399, metrics result is [0.93431807], train loss is 0.3235897421836853
At round 40, test loss is: 0.3297, metrics result is [0.9376622], train loss is 0.31316760182380676
At round 41, test loss is: 0.3217, metrics result is [0.9367025], train loss is 0.3036269247531891
At round 42, test loss is: 0.3130, metrics result is [0.9364174], train loss is 0.29434433579444885
At round 43, test loss is: 0.3047, metrics result is [0.9371277], train loss is 0.28591883182525635
At round 44, test loss is: 0.2969, metrics result is [0.9380957], train loss is 0.277405321598053
At round 45, test loss is: 0.2893, metrics result is [0.94136435], train loss is 0.2694208025932312
At round 46, test loss is: 0.2815, metrics result is [0.9424083], train loss is 0.26188504695892334
At round 47, test loss is: 0.2749, metrics result is [0.9432796], train loss is 0.2553921341896057
At round 48, test loss is: 0.2692, metrics result is [0.9427741], train loss is 0.24837705492973328
At round 49, test loss is: 0.2637, metrics result is [0.94091034], train loss is 0.24196040630340576
At round 50, test loss is: 0.2579, metrics result is [0.9418171], train loss is 0.2360127568244934
At round 51, test loss is: 0.2518, metrics result is [0.94277936], train loss is 0.22984366118907928
At round 52, test loss is: 0.2459, metrics result is [0.9441371], train loss is 0.2238341122865677
At round 53, test loss is: 0.2414, metrics result is [0.9445402], train loss is 0.2187010794878006
At round 54, test loss is: 0.2383, metrics result is [0.9443291], train loss is 0.21426835656166077
At round 55, test loss is: 0.2333, metrics result is [0.9459008], train loss is 0.20893459022045135
At round 56, test loss is: 0.2280, metrics result is [0.9450643], train loss is 0.20449824631214142
At round 57, test loss is: 0.2233, metrics result is [0.9462927], train loss is 0.20000851154327393
At round 58, test loss is: 0.2204, metrics result is [0.94698596], train loss is 0.19615556299686432
At round 59, test loss is: 0.2164, metrics result is [0.94768196], train loss is 0.19172979891300201
At round 60, test loss is: 0.2125, metrics result is [0.94909036], train loss is 0.18782620131969452
At round 61, test loss is: 0.2098, metrics result is [0.94859225], train loss is 0.18416327238082886
At round 62, test loss is: 0.2076, metrics result is [0.9485359], train loss is 0.18024101853370667
At round 63, test loss is: 0.2049, metrics result is [0.9478992], train loss is 0.17675209045410156
At round 64, test loss is: 0.2028, metrics result is [0.9476835], train loss is 0.1735682636499405
At round 65, test loss is: 0.1990, metrics result is [0.94940186], train loss is 0.17008811235427856
At round 66, test loss is: 0.1965, metrics result is [0.94939923], train loss is 0.16722902655601501
At round 67, test loss is: 0.1949, metrics result is [0.9486956], train loss is 0.16445676982402802
At round 68, test loss is: 0.1921, metrics result is [0.9494394], train loss is 0.1612708419561386
At round 69, test loss is: 0.1888, metrics result is [0.950588], train loss is 0.15825773775577545
At round 70, test loss is: 0.1862, metrics result is [0.9515902], train loss is 0.1557476818561554
At round 71, test loss is: 0.1844, metrics result is [0.95029205], train loss is 0.1534549742937088
At round 72, test loss is: 0.1817, metrics result is [0.95117706], train loss is 0.15116393566131592
At round 73, test loss is: 0.1798, metrics result is [0.95160806], train loss is 0.1483585387468338
At round 74, test loss is: 0.1786, metrics result is [0.9520615], train loss is 0.14587965607643127
At round 75, test loss is: 0.1769, metrics result is [0.9509421], train loss is 0.14345571398735046
At round 76, test loss is: 0.1748, metrics result is [0.95165503], train loss is 0.1412070244550705
At round 77, test loss is: 0.1741, metrics result is [0.9519503], train loss is 0.13925036787986755
At round 78, test loss is: 0.1732, metrics result is [0.9522784], train loss is 0.13743333518505096
At round 79, test loss is: 0.1705, metrics result is [0.9530906], train loss is 0.1354074776172638
At round 80, test loss is: 0.1684, metrics result is [0.9525305], train loss is 0.13338357210159302
At round 81, test loss is: 0.1675, metrics result is [0.95295066], train loss is 0.13120834529399872
At round 82, test loss is: 0.1663, metrics result is [0.95299506], train loss is 0.12947456538677216
At round 83, test loss is: 0.1648, metrics result is [0.9520668], train loss is 0.12724490463733673
At round 84, test loss is: 0.1635, metrics result is [0.95287323], train loss is 0.12570373713970184
At round 85, test loss is: 0.1630, metrics result is [0.9526424], train loss is 0.1243673712015152
At round 86, test loss is: 0.1605, metrics result is [0.95375586], train loss is 0.12255982309579849
At round 87, test loss is: 0.1602, metrics result is [0.95299965], train loss is 0.12111680954694748
At round 88, test loss is: 0.1590, metrics result is [0.9526011], train loss is 0.11947031319141388
At round 89, test loss is: 0.1574, metrics result is [0.9528874], train loss is 0.11800766736268997
At round 90, test loss is: 0.1574, metrics result is [0.95310783], train loss is 0.11639922857284546
At round 91, test loss is: 0.1556, metrics result is [0.95341164], train loss is 0.11456891894340515
At round 92, test loss is: 0.1547, metrics result is [0.9533729], train loss is 0.11343903839588165
At round 93, test loss is: 0.1534, metrics result is [0.9526715], train loss is 0.1121300607919693
At round 94, test loss is: 0.1529, metrics result is [0.9538459], train loss is 0.11051769554615021
At round 95, test loss is: 0.1522, metrics result is [0.9540915], train loss is 0.10918638855218887
At round 96, test loss is: 0.1515, metrics result is [0.95419097], train loss is 0.10786659270524979
At round 97, test loss is: 0.1502, metrics result is [0.954976], train loss is 0.10665035992860794
At round 98, test loss is: 0.1498, metrics result is [0.9540364], train loss is 0.10559254884719849
At round 99, test loss is: 0.1484, metrics result is [0.95486253], train loss is 0.10422219336032867
At round 100, test loss is: 0.1489, metrics result is [0.95560735], train loss is 0.10324368625879288
At round 101, test loss is: 0.1479, metrics result is [0.9551076], train loss is 0.10196119546890259
At round 102, test loss is: 0.1474, metrics result is [0.9548123], train loss is 0.10085069388151169
At round 103, test loss is: 0.1463, metrics result is [0.9552951], train loss is 0.09957317262887955
At round 104, test loss is: 0.1463, metrics result is [0.9544538], train loss is 0.09878536313772202
At round 105, test loss is: 0.1444, metrics result is [0.9551816], train loss is 0.09741997718811035
At round 106, test loss is: 0.1437, metrics result is [0.954048], train loss is 0.09629443287849426
At round 107, test loss is: 0.1429, metrics result is [0.95599306], train loss is 0.09525439143180847
At round 108, test loss is: 0.1414, metrics result is [0.95608824], train loss is 0.09459135681390762
At round 109, test loss is: 0.1400, metrics result is [0.95619005], train loss is 0.0931289792060852
At round 110, test loss is: 0.1392, metrics result is [0.95567596], train loss is 0.09215868264436722
At round 111, test loss is: 0.1393, metrics result is [0.95546186], train loss is 0.09138289093971252
At round 112, test loss is: 0.1401, metrics result is [0.9550522], train loss is 0.09045872092247009
At round 113, test loss is: 0.1399, metrics result is [0.9557797], train loss is 0.08938638865947723
At round 114, test loss is: 0.1380, metrics result is [0.95605934], train loss is 0.08867644518613815
At round 115, test loss is: 0.1378, metrics result is [0.9559669], train loss is 0.08782199025154114
At round 116, test loss is: 0.1366, metrics result is [0.9572069], train loss is 0.08684675395488739
At round 117, test loss is: 0.1362, metrics result is [0.9559772], train loss is 0.08603621274232864
At round 118, test loss is: 0.1370, metrics result is [0.95627767], train loss is 0.08502033352851868
At round 119, test loss is: 0.1352, metrics result is [0.956482], train loss is 0.08434900641441345
At round 120, test loss is: 0.1354, metrics result is [0.9564967], train loss is 0.08379587531089783
At round 121, test loss is: 0.1344, metrics result is [0.9572057], train loss is 0.08274375647306442
At round 122, test loss is: 0.1355, metrics result is [0.95690626], train loss is 0.08202466368675232
At round 123, test loss is: 0.1354, metrics result is [0.9571061], train loss is 0.08108877390623093
At round 124, test loss is: 0.1347, metrics result is [0.9568979], train loss is 0.08023261278867722
At round 125, test loss is: 0.1349, metrics result is [0.95639807], train loss is 0.0793396532535553
At round 126, test loss is: 0.1337, metrics result is [0.9573904], train loss is 0.0786716490983963
At round 127, test loss is: 0.1328, metrics result is [0.95751673], train loss is 0.07797808945178986
At round 128, test loss is: 0.1329, metrics result is [0.95761526], train loss is 0.0771794393658638
At round 129, test loss is: 0.1330, metrics result is [0.9582163], train loss is 0.07657026499509811
At round 130, test loss is: 0.1339, metrics result is [0.9576763], train loss is 0.07578080892562866
At round 131, test loss is: 0.1333, metrics result is [0.95769906], train loss is 0.07524598389863968
At round 132, test loss is: 0.1327, metrics result is [0.95746744], train loss is 0.07456211745738983
At round 133, test loss is: 0.1312, metrics result is [0.9573095], train loss is 0.07376953214406967
At round 134, test loss is: 0.1305, metrics result is [0.95687175], train loss is 0.07286160439252853
At round 135, test loss is: 0.1294, metrics result is [0.9576208], train loss is 0.07242324203252792
At round 136, test loss is: 0.1294, metrics result is [0.9581147], train loss is 0.07173561304807663
At round 137, test loss is: 0.1294, metrics result is [0.95820075], train loss is 0.07115612924098969
At round 138, test loss is: 0.1301, metrics result is [0.9573631], train loss is 0.07050856947898865
At round 139, test loss is: 0.1301, metrics result is [0.9569833], train loss is 0.0698632299900055
At round 140, test loss is: 0.1291, metrics result is [0.95748144], train loss is 0.0692216083407402
At round 141, test loss is: 0.1274, metrics result is [0.95779276], train loss is 0.06860031932592392
At round 142, test loss is: 0.1276, metrics result is [0.95849], train loss is 0.06790006905794144
At round 143, test loss is: 0.1268, metrics result is [0.95872426], train loss is 0.06738881021738052
At round 144, test loss is: 0.1274, metrics result is [0.95890534], train loss is 0.066971555352211
At round 145, test loss is: 0.1275, metrics result is [0.9590256], train loss is 0.06630884110927582
At round 146, test loss is: 0.1293, metrics result is [0.9579945], train loss is 0.06571464240550995
At round 147, test loss is: 0.1279, metrics result is [0.95840245], train loss is 0.06513777375221252
At round 148, test loss is: 0.1267, metrics result is [0.95879954], train loss is 0.06457101553678513
At round 149, test loss is: 0.1272, metrics result is [0.9591144], train loss is 0.06405824422836304
At round 150, test loss is: 0.1269, metrics result is [0.95879835], train loss is 0.06343762576580048
At round 151, test loss is: 0.1267, metrics result is [0.95788836], train loss is 0.06294345110654831
At round 152, test loss is: 0.1266, metrics result is [0.9576952], train loss is 0.06232933700084686
At round 153, test loss is: 0.1267, metrics result is [0.95811296], train loss is 0.06208716705441475
At round 154, test loss is: 0.1269, metrics result is [0.9581987], train loss is 0.061594702303409576
At round 155, test loss is: 0.1262, metrics result is [0.958592], train loss is 0.06110306829214096
At round 156, test loss is: 0.1256, metrics result is [0.9589106], train loss is 0.06059946492314339
At round 157, test loss is: 0.1253, metrics result is [0.95919347], train loss is 0.059928108006715775
At round 158, test loss is: 0.1259, metrics result is [0.9583171], train loss is 0.05951058864593506
At round 159, test loss is: 0.1252, metrics result is [0.9581778], train loss is 0.05886364355683327
At round 160, test loss is: 0.1250, metrics result is [0.95886123], train loss is 0.058332573622465134
At round 161, test loss is: 0.1247, metrics result is [0.959997], train loss is 0.05789295583963394
At round 162, test loss is: 0.1234, metrics result is [0.9600125], train loss is 0.057337865233421326
At round 163, test loss is: 0.1227, metrics result is [0.96094316], train loss is 0.0569632425904274
At round 164, test loss is: 0.1237, metrics result is [0.9595012], train loss is 0.0564907044172287
At round 165, test loss is: 0.1237, metrics result is [0.95898926], train loss is 0.05606243014335632
