At round 0, test loss is: 2.0992, metrics result is [0.25121528], train loss is 2.0930192470550537
At round 1, test loss is: 2.0616, metrics result is [0.27629817], train loss is 2.0571372509002686
At round 2, test loss is: 2.0266, metrics result is [0.3027116], train loss is 2.023449420928955
At round 3, test loss is: 1.9953, metrics result is [0.33738044], train loss is 1.9924157857894897
At round 4, test loss is: 1.9666, metrics result is [0.36443543], train loss is 1.964915156364441
At round 5, test loss is: 1.9345, metrics result is [0.3981251], train loss is 1.9337944984436035
At round 6, test loss is: 1.9053, metrics result is [0.42645833], train loss is 1.9054473638534546
At round 7, test loss is: 1.8772, metrics result is [0.4592827], train loss is 1.8784153461456299
At round 8, test loss is: 1.8489, metrics result is [0.48862153], train loss is 1.8508670330047607
At round 9, test loss is: 1.8233, metrics result is [0.5133044], train loss is 1.8260223865509033
At round 10, test loss is: 1.7965, metrics result is [0.54166836], train loss is 1.8000779151916504
At round 11, test loss is: 1.7678, metrics result is [0.5675439], train loss is 1.7729125022888184
At round 12, test loss is: 1.7442, metrics result is [0.5864381], train loss is 1.7495378255844116
At round 13, test loss is: 1.7188, metrics result is [0.6118373], train loss is 1.7252094745635986
At round 14, test loss is: 1.6919, metrics result is [0.6315462], train loss is 1.7000654935836792
At round 15, test loss is: 1.6693, metrics result is [0.64611864], train loss is 1.6765990257263184
At round 16, test loss is: 1.6463, metrics result is [0.66149926], train loss is 1.6547399759292603
At round 17, test loss is: 1.6224, metrics result is [0.68231463], train loss is 1.63169527053833
At round 18, test loss is: 1.5979, metrics result is [0.68927896], train loss is 1.6084414720535278
At round 19, test loss is: 1.5765, metrics result is [0.70879775], train loss is 1.5870414972305298
At round 20, test loss is: 1.5536, metrics result is [0.71596587], train loss is 1.5647578239440918
At round 21, test loss is: 1.5324, metrics result is [0.72956467], train loss is 1.5445358753204346
At round 22, test loss is: 1.5102, metrics result is [0.7373906], train loss is 1.5232211351394653
At round 23, test loss is: 1.4904, metrics result is [0.745366], train loss is 1.503739833831787
At round 24, test loss is: 1.4687, metrics result is [0.75700605], train loss is 1.482062578201294
At round 25, test loss is: 1.4487, metrics result is [0.7661617], train loss is 1.4634945392608643
At round 26, test loss is: 1.4294, metrics result is [0.7690644], train loss is 1.4435597658157349
At round 27, test loss is: 1.4086, metrics result is [0.77528906], train loss is 1.4240849018096924
At round 28, test loss is: 1.3913, metrics result is [0.7848083], train loss is 1.407053828239441
At round 29, test loss is: 1.3713, metrics result is [0.79111093], train loss is 1.387384057044983
At round 30, test loss is: 1.3523, metrics result is [0.7961183], train loss is 1.3701956272125244
At round 31, test loss is: 1.3348, metrics result is [0.7976749], train loss is 1.351374626159668
At round 32, test loss is: 1.3162, metrics result is [0.8083239], train loss is 1.3345810174942017
At round 33, test loss is: 1.2984, metrics result is [0.8122125], train loss is 1.3167344331741333
At round 34, test loss is: 1.2799, metrics result is [0.81559867], train loss is 1.298401951789856
At round 35, test loss is: 1.2630, metrics result is [0.8215629], train loss is 1.2821698188781738
At round 36, test loss is: 1.2470, metrics result is [0.81920606], train loss is 1.2659392356872559
At round 37, test loss is: 1.2317, metrics result is [0.8265041], train loss is 1.251779556274414
At round 38, test loss is: 1.2152, metrics result is [0.8294619], train loss is 1.2350047826766968
At round 39, test loss is: 1.1992, metrics result is [0.8340024], train loss is 1.2196882963180542
At round 40, test loss is: 1.1849, metrics result is [0.8354316], train loss is 1.2064167261123657
At round 41, test loss is: 1.1716, metrics result is [0.83756113], train loss is 1.192175269126892
At round 42, test loss is: 1.1551, metrics result is [0.83998626], train loss is 1.1764898300170898
At round 43, test loss is: 1.1404, metrics result is [0.8428073], train loss is 1.1618622541427612
At round 44, test loss is: 1.1279, metrics result is [0.84429], train loss is 1.1498645544052124
At round 45, test loss is: 1.1126, metrics result is [0.8503735], train loss is 1.1353670358657837
At round 46, test loss is: 1.0999, metrics result is [0.85175574], train loss is 1.1216068267822266
At round 47, test loss is: 1.0859, metrics result is [0.8547015], train loss is 1.1089277267456055
At round 48, test loss is: 1.0756, metrics result is [0.85612226], train loss is 1.0986855030059814
At round 49, test loss is: 1.0607, metrics result is [0.859051], train loss is 1.0845561027526855
At round 50, test loss is: 1.0476, metrics result is [0.86235297], train loss is 1.0715694427490234
At round 51, test loss is: 1.0370, metrics result is [0.8610996], train loss is 1.0607502460479736
At round 52, test loss is: 1.0254, metrics result is [0.8640955], train loss is 1.0493513345718384
At round 53, test loss is: 1.0142, metrics result is [0.8654548], train loss is 1.0384762287139893
At round 54, test loss is: 1.0015, metrics result is [0.86711913], train loss is 1.0267491340637207
At round 55, test loss is: 0.9910, metrics result is [0.8673491], train loss is 1.0154609680175781
At round 56, test loss is: 0.9799, metrics result is [0.8664243], train loss is 1.0059937238693237
At round 57, test loss is: 0.9713, metrics result is [0.866852], train loss is 0.9966931939125061
At round 58, test loss is: 0.9596, metrics result is [0.8704326], train loss is 0.985575258731842
At round 59, test loss is: 0.9489, metrics result is [0.872622], train loss is 0.9744676351547241
At round 60, test loss is: 0.9403, metrics result is [0.8726099], train loss is 0.9664869904518127
At round 61, test loss is: 0.9290, metrics result is [0.87476784], train loss is 0.9556797742843628
At round 62, test loss is: 0.9189, metrics result is [0.87229973], train loss is 0.9454013705253601
At round 63, test loss is: 0.9100, metrics result is [0.8752812], train loss is 0.9357607960700989
At round 64, test loss is: 0.9019, metrics result is [0.8762648], train loss is 0.928178071975708
At round 65, test loss is: 0.8925, metrics result is [0.87804496], train loss is 0.9193112850189209
At round 66, test loss is: 0.8834, metrics result is [0.8785988], train loss is 0.9097609519958496
At round 67, test loss is: 0.8741, metrics result is [0.8791145], train loss is 0.9008510708808899
At round 68, test loss is: 0.8692, metrics result is [0.8772697], train loss is 0.8945500254631042
At round 69, test loss is: 0.8586, metrics result is [0.8787634], train loss is 0.8855876922607422
At round 70, test loss is: 0.8504, metrics result is [0.8820563], train loss is 0.8780741095542908
At round 71, test loss is: 0.8433, metrics result is [0.8816172], train loss is 0.8708558678627014
At round 72, test loss is: 0.8351, metrics result is [0.8803307], train loss is 0.8630823493003845
At round 73, test loss is: 0.8269, metrics result is [0.88406634], train loss is 0.8541234731674194
At round 74, test loss is: 0.8223, metrics result is [0.8830559], train loss is 0.8499847650527954
At round 75, test loss is: 0.8121, metrics result is [0.88575715], train loss is 0.8401581048965454
At round 76, test loss is: 0.8066, metrics result is [0.883227], train loss is 0.8342214226722717
At round 77, test loss is: 0.7994, metrics result is [0.8851831], train loss is 0.8276053667068481
At round 78, test loss is: 0.7923, metrics result is [0.883692], train loss is 0.8198280930519104
At round 79, test loss is: 0.7864, metrics result is [0.88612854], train loss is 0.8148346543312073
At round 80, test loss is: 0.7808, metrics result is [0.8868575], train loss is 0.8086378574371338
At round 81, test loss is: 0.7728, metrics result is [0.8855367], train loss is 0.8019306659698486
At round 82, test loss is: 0.7668, metrics result is [0.8855931], train loss is 0.7955895066261292
At round 83, test loss is: 0.7614, metrics result is [0.88824743], train loss is 0.7893208265304565
At round 84, test loss is: 0.7550, metrics result is [0.8874351], train loss is 0.7834331393241882
At round 85, test loss is: 0.7495, metrics result is [0.88910794], train loss is 0.7776737213134766
At round 86, test loss is: 0.7456, metrics result is [0.8867698], train loss is 0.7742742896080017
At round 87, test loss is: 0.7376, metrics result is [0.8873512], train loss is 0.7660506367683411
At round 88, test loss is: 0.7307, metrics result is [0.8881444], train loss is 0.7595841884613037
At round 89, test loss is: 0.7267, metrics result is [0.88812137], train loss is 0.7554879784584045
At round 90, test loss is: 0.7211, metrics result is [0.88822615], train loss is 0.7492458820343018
At round 91, test loss is: 0.7157, metrics result is [0.8896373], train loss is 0.7445477843284607
At round 92, test loss is: 0.7099, metrics result is [0.8908846], train loss is 0.7391608357429504
At round 93, test loss is: 0.7054, metrics result is [0.8895675], train loss is 0.7346134781837463
At round 94, test loss is: 0.7017, metrics result is [0.8909087], train loss is 0.7306938171386719
At round 95, test loss is: 0.6976, metrics result is [0.8886381], train loss is 0.7265083193778992
At round 96, test loss is: 0.6913, metrics result is [0.8914485], train loss is 0.7207041382789612
At round 97, test loss is: 0.6874, metrics result is [0.891594], train loss is 0.7164570689201355
At round 98, test loss is: 0.6852, metrics result is [0.8920471], train loss is 0.7129051089286804
At round 99, test loss is: 0.6777, metrics result is [0.893113], train loss is 0.7074021697044373
At round 100, test loss is: 0.6736, metrics result is [0.8916315], train loss is 0.7029849886894226
At round 101, test loss is: 0.6700, metrics result is [0.89312255], train loss is 0.6994042992591858
At round 102, test loss is: 0.6652, metrics result is [0.8945472], train loss is 0.6952486634254456
At round 103, test loss is: 0.6596, metrics result is [0.8946429], train loss is 0.688942551612854
At round 104, test loss is: 0.6576, metrics result is [0.89369875], train loss is 0.6867835521697998
At round 105, test loss is: 0.6536, metrics result is [0.8945258], train loss is 0.6839026808738708
At round 106, test loss is: 0.6484, metrics result is [0.8938439], train loss is 0.6786963939666748
At round 107, test loss is: 0.6470, metrics result is [0.89306474], train loss is 0.6761157512664795
At round 108, test loss is: 0.6410, metrics result is [0.8945778], train loss is 0.6714057326316833
At round 109, test loss is: 0.6374, metrics result is [0.8970157], train loss is 0.6673216223716736
At round 110, test loss is: 0.6341, metrics result is [0.895509], train loss is 0.6637580394744873
At round 111, test loss is: 0.6317, metrics result is [0.89485633], train loss is 0.6608276963233948
At round 112, test loss is: 0.6280, metrics result is [0.8941189], train loss is 0.6573598384857178
At round 113, test loss is: 0.6230, metrics result is [0.89626986], train loss is 0.6524372100830078
At round 114, test loss is: 0.6205, metrics result is [0.8965602], train loss is 0.6498033404350281
At round 115, test loss is: 0.6194, metrics result is [0.89383894], train loss is 0.6488358974456787
At round 116, test loss is: 0.6144, metrics result is [0.8962436], train loss is 0.6436405181884766
At round 117, test loss is: 0.6112, metrics result is [0.8963082], train loss is 0.6403728723526001
At round 118, test loss is: 0.6080, metrics result is [0.8966406], train loss is 0.6368566751480103
At round 119, test loss is: 0.6054, metrics result is [0.8951603], train loss is 0.6344026327133179
At round 120, test loss is: 0.6016, metrics result is [0.89668715], train loss is 0.6314207315444946
At round 121, test loss is: 0.5990, metrics result is [0.8965293], train loss is 0.6293460130691528
At round 122, test loss is: 0.5960, metrics result is [0.8961677], train loss is 0.625486433506012
At round 123, test loss is: 0.5941, metrics result is [0.8971138], train loss is 0.6231832504272461
At round 124, test loss is: 0.5888, metrics result is [0.8977168], train loss is 0.6190151572227478
At round 125, test loss is: 0.5869, metrics result is [0.8987205], train loss is 0.6157968640327454
