At round 0, test loss is: 2.0814, metrics result is [0.27246505], train loss is 2.074897289276123
At round 1, test loss is: 1.8836, metrics result is [0.41725606], train loss is 1.8773077726364136
At round 2, test loss is: 1.7156, metrics result is [0.520908], train loss is 1.7094017267227173
At round 3, test loss is: 1.5747, metrics result is [0.5986275], train loss is 1.5684516429901123
At round 4, test loss is: 1.4546, metrics result is [0.6527508], train loss is 1.448248267173767
At round 5, test loss is: 1.3488, metrics result is [0.7007629], train loss is 1.34224271774292
At round 6, test loss is: 1.2563, metrics result is [0.7416447], train loss is 1.249671459197998
At round 7, test loss is: 1.1759, metrics result is [0.7736956], train loss is 1.1693696975708008
At round 8, test loss is: 1.1040, metrics result is [0.79905283], train loss is 1.0972144603729248
At round 9, test loss is: 1.0409, metrics result is [0.8257191], train loss is 1.0329631567001343
At round 10, test loss is: 0.9822, metrics result is [0.845075], train loss is 0.9748613834381104
At round 11, test loss is: 0.9302, metrics result is [0.8582257], train loss is 0.9228909015655518
At round 12, test loss is: 0.8842, metrics result is [0.8697562], train loss is 0.8760921955108643
At round 13, test loss is: 0.8412, metrics result is [0.87956774], train loss is 0.8332086205482483
At round 14, test loss is: 0.8010, metrics result is [0.8906734], train loss is 0.7936462163925171
At round 15, test loss is: 0.7673, metrics result is [0.89452225], train loss is 0.7588236927986145
At round 16, test loss is: 0.7351, metrics result is [0.8964939], train loss is 0.7256326079368591
At round 17, test loss is: 0.7052, metrics result is [0.90281135], train loss is 0.6956814527511597
At round 18, test loss is: 0.6773, metrics result is [0.90817297], train loss is 0.6682239770889282
At round 19, test loss is: 0.6519, metrics result is [0.9140365], train loss is 0.6424323916435242
At round 20, test loss is: 0.6286, metrics result is [0.91717523], train loss is 0.6189415454864502
At round 21, test loss is: 0.6066, metrics result is [0.9196086], train loss is 0.5968250036239624
At round 22, test loss is: 0.5877, metrics result is [0.9193183], train loss is 0.577308177947998
At round 23, test loss is: 0.5687, metrics result is [0.9216797], train loss is 0.5583065152168274
At round 24, test loss is: 0.5516, metrics result is [0.9255033], train loss is 0.5405723452568054
At round 25, test loss is: 0.5349, metrics result is [0.92662436], train loss is 0.5239758491516113
At round 26, test loss is: 0.5206, metrics result is [0.92640704], train loss is 0.5089570879936218
At round 27, test loss is: 0.5067, metrics result is [0.92800486], train loss is 0.49433231353759766
At round 28, test loss is: 0.4931, metrics result is [0.9291621], train loss is 0.48067519068717957
At round 29, test loss is: 0.4813, metrics result is [0.9301666], train loss is 0.46820199489593506
At round 30, test loss is: 0.4688, metrics result is [0.9323855], train loss is 0.45602893829345703
At round 31, test loss is: 0.4586, metrics result is [0.93050677], train loss is 0.44525545835494995
At round 32, test loss is: 0.4475, metrics result is [0.9330528], train loss is 0.43443983793258667
At round 33, test loss is: 0.4378, metrics result is [0.9338676], train loss is 0.42398396134376526
At round 34, test loss is: 0.4280, metrics result is [0.9351417], train loss is 0.41464123129844666
At round 35, test loss is: 0.4190, metrics result is [0.93566054], train loss is 0.40552207827568054
At round 36, test loss is: 0.4104, metrics result is [0.93768], train loss is 0.3971143066883087
At round 37, test loss is: 0.4029, metrics result is [0.9376828], train loss is 0.3887537717819214
At round 38, test loss is: 0.3958, metrics result is [0.9378612], train loss is 0.38096240162849426
At round 39, test loss is: 0.3884, metrics result is [0.93852395], train loss is 0.37379196286201477
At round 40, test loss is: 0.3815, metrics result is [0.9382866], train loss is 0.36662089824676514
At round 41, test loss is: 0.3755, metrics result is [0.9394624], train loss is 0.3598552942276001
At round 42, test loss is: 0.3688, metrics result is [0.93924606], train loss is 0.35342204570770264
At round 43, test loss is: 0.3637, metrics result is [0.9385657], train loss is 0.34742775559425354
At round 44, test loss is: 0.3575, metrics result is [0.94065404], train loss is 0.34122756123542786
At round 45, test loss is: 0.3518, metrics result is [0.9402986], train loss is 0.3355006277561188
At round 46, test loss is: 0.3459, metrics result is [0.9411975], train loss is 0.32986295223236084
At round 47, test loss is: 0.3409, metrics result is [0.9434016], train loss is 0.32489126920700073
At round 48, test loss is: 0.3366, metrics result is [0.94112986], train loss is 0.319582462310791
At round 49, test loss is: 0.3323, metrics result is [0.94140935], train loss is 0.314890593290329
At round 50, test loss is: 0.3268, metrics result is [0.9426978], train loss is 0.31008049845695496
At round 51, test loss is: 0.3225, metrics result is [0.9437618], train loss is 0.30540844798088074
At round 52, test loss is: 0.3184, metrics result is [0.9436447], train loss is 0.3010410666465759
At round 53, test loss is: 0.3143, metrics result is [0.94333136], train loss is 0.29682421684265137
At round 54, test loss is: 0.3113, metrics result is [0.94323206], train loss is 0.29300495982170105
At round 55, test loss is: 0.3072, metrics result is [0.9450167], train loss is 0.2887429893016815
At round 56, test loss is: 0.3031, metrics result is [0.9455304], train loss is 0.28517821431159973
