At round 0, test loss is: 2.2187, metrics result is [0.1746995], train loss is 2.224180221557617, c accuracy is 0.53
At round 1, test loss is: 2.0884, metrics result is [0.30120903], train loss is 2.0971758365631104, c accuracy is 0.5
At round 2, test loss is: 1.9611, metrics result is [0.44533908], train loss is 1.9738746881484985, c accuracy is 0.47
At round 3, test loss is: 1.8410, metrics result is [0.5431186], train loss is 1.8574700355529785, c accuracy is 0.47
At round 4, test loss is: 1.7280, metrics result is [0.6137753], train loss is 1.7474567890167236, c accuracy is 0.46
At round 5, test loss is: 1.6222, metrics result is [0.6645475], train loss is 1.6445027589797974, c accuracy is 0.46
At round 6, test loss is: 1.5271, metrics result is [0.6946406], train loss is 1.5510568618774414, c accuracy is 0.46
At round 7, test loss is: 1.4419, metrics result is [0.7144005], train loss is 1.4675054550170898, c accuracy is 0.44
At round 8, test loss is: 1.3652, metrics result is [0.7368541], train loss is 1.391237497329712, c accuracy is 0.43
At round 9, test loss is: 1.2947, metrics result is [0.7494133], train loss is 1.3215163946151733, c accuracy is 0.42
At round 10, test loss is: 1.2314, metrics result is [0.76406515], train loss is 1.2587554454803467, c accuracy is 0.43
At round 11, test loss is: 1.1728, metrics result is [0.7748143], train loss is 1.200830340385437, c accuracy is 0.42
At round 12, test loss is: 1.1204, metrics result is [0.7829822], train loss is 1.1488009691238403, c accuracy is 0.42
At round 13, test loss is: 1.0725, metrics result is [0.7925974], train loss is 1.1011325120925903, c accuracy is 0.4
At round 14, test loss is: 1.0288, metrics result is [0.80051756], train loss is 1.057663083076477, c accuracy is 0.38
At round 15, test loss is: 0.9890, metrics result is [0.809311], train loss is 1.017890453338623, c accuracy is 0.38
At round 16, test loss is: 0.9519, metrics result is [0.81398153], train loss is 0.9808449745178223, c accuracy is 0.36
At round 17, test loss is: 0.9168, metrics result is [0.8208588], train loss is 0.945618212223053, c accuracy is 0.29
At round 18, test loss is: 0.8842, metrics result is [0.82800406], train loss is 0.9131062030792236, c accuracy is 0.27
At round 19, test loss is: 0.8542, metrics result is [0.8339996], train loss is 0.8830696940422058, c accuracy is 0.25
At round 20, test loss is: 0.8260, metrics result is [0.83867383], train loss is 0.8547146320343018, c accuracy is 0.25
At round 21, test loss is: 0.7991, metrics result is [0.8416506], train loss is 0.8279021978378296, c accuracy is 0.24
At round 22, test loss is: 0.7739, metrics result is [0.8458976], train loss is 0.8024610877037048, c accuracy is 0.23
At round 23, test loss is: 0.7512, metrics result is [0.8496015], train loss is 0.7794737219810486, c accuracy is 0.22
At round 24, test loss is: 0.7282, metrics result is [0.8553423], train loss is 0.7562596201896667, c accuracy is 0.22
At round 25, test loss is: 0.7064, metrics result is [0.8593649], train loss is 0.7342929244041443, c accuracy is 0.22
At round 26, test loss is: 0.6852, metrics result is [0.86478305], train loss is 0.7128908634185791, c accuracy is 0.2
At round 27, test loss is: 0.6658, metrics result is [0.8701379], train loss is 0.6933841109275818, c accuracy is 0.19
At round 28, test loss is: 0.6476, metrics result is [0.8754612], train loss is 0.6748381853103638, c accuracy is 0.18
At round 29, test loss is: 0.6303, metrics result is [0.8772013], train loss is 0.6573492288589478, c accuracy is 0.18
At round 30, test loss is: 0.6127, metrics result is [0.88119227], train loss is 0.6395158767700195, c accuracy is 0.16
At round 31, test loss is: 0.5959, metrics result is [0.8853226], train loss is 0.622237503528595, c accuracy is 0.14
At round 32, test loss is: 0.5791, metrics result is [0.8894422], train loss is 0.6052796244621277, c accuracy is 0.14
At round 33, test loss is: 0.5638, metrics result is [0.8918271], train loss is 0.5897950530052185, c accuracy is 0.14
