At round 0, test loss is: 2.1931, metrics result is [0.20192482], train loss is 2.188041925430298
At round 1, test loss is: 2.1657, metrics result is [0.21750613], train loss is 2.1619274616241455
At round 2, test loss is: 2.1386, metrics result is [0.22852659], train loss is 2.135658025741577
At round 3, test loss is: 2.1144, metrics result is [0.24653932], train loss is 2.111550807952881
At round 4, test loss is: 2.0908, metrics result is [0.26022813], train loss is 2.08905029296875
At round 5, test loss is: 2.0657, metrics result is [0.2770766], train loss is 2.0645618438720703
At round 6, test loss is: 2.0425, metrics result is [0.29593074], train loss is 2.041779041290283
At round 7, test loss is: 2.0198, metrics result is [0.3099911], train loss is 2.019822359085083
At round 8, test loss is: 1.9969, metrics result is [0.33323926], train loss is 1.9977288246154785
At round 9, test loss is: 1.9757, metrics result is [0.35408705], train loss is 1.977125883102417
At round 10, test loss is: 1.9537, metrics result is [0.37204528], train loss is 1.9556241035461426
At round 11, test loss is: 1.9305, metrics result is [0.3947007], train loss is 1.9334139823913574
At round 12, test loss is: 1.9108, metrics result is [0.414762], train loss is 1.9139682054519653
At round 13, test loss is: 1.8900, metrics result is [0.43605587], train loss is 1.893864631652832
At round 14, test loss is: 1.8680, metrics result is [0.45385188], train loss is 1.8731298446655273
At round 15, test loss is: 1.8493, metrics result is [0.47162324], train loss is 1.8537850379943848
At round 16, test loss is: 1.8297, metrics result is [0.48888054], train loss is 1.8350393772125244
At round 17, test loss is: 1.8101, metrics result is [0.50819325], train loss is 1.816199779510498
At round 18, test loss is: 1.7895, metrics result is [0.5281433], train loss is 1.796877145767212
At round 19, test loss is: 1.7715, metrics result is [0.54463166], train loss is 1.7788888216018677
At round 20, test loss is: 1.7530, metrics result is [0.56211835], train loss is 1.7609913349151611
At round 21, test loss is: 1.7348, metrics result is [0.578337], train loss is 1.7434873580932617
At round 22, test loss is: 1.7168, metrics result is [0.5933163], train loss is 1.7261689901351929
At round 23, test loss is: 1.7000, metrics result is [0.6044755], train loss is 1.7096408605575562
At round 24, test loss is: 1.6819, metrics result is [0.6222327], train loss is 1.6918516159057617
At round 25, test loss is: 1.6649, metrics result is [0.63186884], train loss is 1.6758623123168945
At round 26, test loss is: 1.6487, metrics result is [0.64585626], train loss is 1.6592897176742554
At round 27, test loss is: 1.6311, metrics result is [0.6560857], train loss is 1.6428521871566772
At round 28, test loss is: 1.6164, metrics result is [0.6653546], train loss is 1.6283389329910278
At round 29, test loss is: 1.5994, metrics result is [0.6739862], train loss is 1.6118979454040527
At round 30, test loss is: 1.5836, metrics result is [0.6875752], train loss is 1.597280740737915
At round 31, test loss is: 1.5685, metrics result is [0.6898829], train loss is 1.5816230773925781
At round 32, test loss is: 1.5526, metrics result is [0.7062458], train loss is 1.5670366287231445
At round 33, test loss is: 1.5375, metrics result is [0.71360475], train loss is 1.5519568920135498
At round 34, test loss is: 1.5220, metrics result is [0.71943766], train loss is 1.5366694927215576
At round 35, test loss is: 1.5076, metrics result is [0.72964334], train loss is 1.5228902101516724
At round 36, test loss is: 1.4936, metrics result is [0.73108786], train loss is 1.5088896751403809
At round 37, test loss is: 1.4797, metrics result is [0.73959863], train loss is 1.495901346206665
At round 38, test loss is: 1.4655, metrics result is [0.7443722], train loss is 1.481560468673706
At round 39, test loss is: 1.4510, metrics result is [0.74988014], train loss is 1.4678435325622559
At round 40, test loss is: 1.4378, metrics result is [0.75331354], train loss is 1.4555473327636719
At round 41, test loss is: 1.4258, metrics result is [0.7581661], train loss is 1.442986249923706
At round 42, test loss is: 1.4117, metrics result is [0.7635572], train loss is 1.429548740386963
At round 43, test loss is: 1.3984, metrics result is [0.7683629], train loss is 1.4162853956222534
At round 44, test loss is: 1.3862, metrics result is [0.77306795], train loss is 1.4047119617462158
At round 45, test loss is: 1.3729, metrics result is [0.77694887], train loss is 1.39198637008667
At round 46, test loss is: 1.3613, metrics result is [0.781659], train loss is 1.3796674013137817
At round 47, test loss is: 1.3486, metrics result is [0.78564453], train loss is 1.368139624595642
At round 48, test loss is: 1.3377, metrics result is [0.78934216], train loss is 1.3575892448425293
At round 49, test loss is: 1.3248, metrics result is [0.7913635], train loss is 1.345287799835205
At round 50, test loss is: 1.3127, metrics result is [0.7969366], train loss is 1.3332502841949463
At round 51, test loss is: 1.3021, metrics result is [0.80116], train loss is 1.3229286670684814
At round 52, test loss is: 1.2911, metrics result is [0.8018216], train loss is 1.3118404150009155
At round 53, test loss is: 1.2800, metrics result is [0.80599153], train loss is 1.3011717796325684
At round 54, test loss is: 1.2685, metrics result is [0.8078166], train loss is 1.29046630859375
At round 55, test loss is: 1.2576, metrics result is [0.81030303], train loss is 1.2793233394622803
At round 56, test loss is: 1.2469, metrics result is [0.8112175], train loss is 1.2696090936660767
At round 57, test loss is: 1.2376, metrics result is [0.8116404], train loss is 1.26018226146698
At round 58, test loss is: 1.2265, metrics result is [0.81486917], train loss is 1.2493976354599
At round 59, test loss is: 1.2165, metrics result is [0.8175918], train loss is 1.2392209768295288
At round 60, test loss is: 1.2071, metrics result is [0.82024896], train loss is 1.2304158210754395
At round 61, test loss is: 1.1964, metrics result is [0.82245374], train loss is 1.2201613187789917
At round 62, test loss is: 1.1868, metrics result is [0.82197464], train loss is 1.2103866338729858
At round 63, test loss is: 1.1773, metrics result is [0.82403916], train loss is 1.2008200883865356
At round 64, test loss is: 1.1684, metrics result is [0.8279467], train loss is 1.19240403175354
At round 65, test loss is: 1.1591, metrics result is [0.8287937], train loss is 1.1833326816558838
At round 66, test loss is: 1.1497, metrics result is [0.82983756], train loss is 1.1739563941955566
At round 67, test loss is: 1.1404, metrics result is [0.83108246], train loss is 1.1651192903518677
At round 68, test loss is: 1.1333, metrics result is [0.83224016], train loss is 1.157333254814148
At round 69, test loss is: 1.1236, metrics result is [0.83640426], train loss is 1.148715615272522
