At round 1, test_loss is 2.3335, accuracy is 0.142822, max_norm is 0.1100, mean_norm is 0.0355
At round 2, test_loss is 2.2942, accuracy is 0.158853, max_norm is 0.1071, mean_norm is 0.0338
At round 3, test_loss is 2.2577, accuracy is 0.172904, max_norm is 0.1063, mean_norm is 0.0326
At round 4, test_loss is 2.2235, accuracy is 0.188369, max_norm is 0.1034, mean_norm is 0.0315
At round 5, test_loss is 2.1909, accuracy is 0.206111, max_norm is 0.1026, mean_norm is 0.0308
At round 6, test_loss is 2.1598, accuracy is 0.223655, max_norm is 0.1013, mean_norm is 0.0300
At round 7, test_loss is 2.1299, accuracy is 0.246050, max_norm is 0.1005, mean_norm is 0.0295
At round 8, test_loss is 2.1009, accuracy is 0.270120, max_norm is 0.0991, mean_norm is 0.0290
At round 9, test_loss is 2.0729, accuracy is 0.293360, max_norm is 0.0979, mean_norm is 0.0286
At round 10, test_loss is 2.0457, accuracy is 0.318583, max_norm is 0.0976, mean_norm is 0.0282
At round 11, test_loss is 2.0191, accuracy is 0.339550, max_norm is 0.0979, mean_norm is 0.0278
At round 12, test_loss is 1.9933, accuracy is 0.363586, max_norm is 0.0981, mean_norm is 0.0274
At round 13, test_loss is 1.9680, accuracy is 0.386095, max_norm is 0.0988, mean_norm is 0.0271
At round 14, test_loss is 1.9434, accuracy is 0.406571, max_norm is 0.0994, mean_norm is 0.0268
At round 15, test_loss is 1.9192, accuracy is 0.428587, max_norm is 0.0999, mean_norm is 0.0265
At round 16, test_loss is 1.8956, accuracy is 0.446810, max_norm is 0.1002, mean_norm is 0.0263
At round 17, test_loss is 1.8725, accuracy is 0.465720, max_norm is 0.1007, mean_norm is 0.0260
At round 18, test_loss is 1.8498, accuracy is 0.484143, max_norm is 0.1011, mean_norm is 0.0257
At round 19, test_loss is 1.8276, accuracy is 0.503181, max_norm is 0.1015, mean_norm is 0.0255
At round 20, test_loss is 1.8057, accuracy is 0.520409, max_norm is 0.1026, mean_norm is 0.0253
