At round 0, test loss is: 2.2139, metrics result is [0.1846578], train loss is 2.2148749828338623, c accuracy is 0.52
At round 1, test loss is: 2.0834, metrics result is [0.32326615], train loss is 2.087240695953369, c accuracy is 0.52
At round 2, test loss is: 1.9585, metrics result is [0.45425773], train loss is 1.9662683010101318, c accuracy is 0.51
At round 3, test loss is: 1.8361, metrics result is [0.5544067], train loss is 1.8468371629714966, c accuracy is 0.46
At round 4, test loss is: 1.7165, metrics result is [0.6263779], train loss is 1.7311915159225464, c accuracy is 0.46
At round 5, test loss is: 1.6027, metrics result is [0.67084086], train loss is 1.6204990148544312, c accuracy is 0.44
At round 6, test loss is: 1.4959, metrics result is [0.7013356], train loss is 1.5164532661437988, c accuracy is 0.4
At round 7, test loss is: 1.3956, metrics result is [0.73008764], train loss is 1.4189051389694214, c accuracy is 0.37
At round 8, test loss is: 1.3056, metrics result is [0.74726087], train loss is 1.3305275440216064, c accuracy is 0.36
At round 9, test loss is: 1.2211, metrics result is [0.7651603], train loss is 1.2479404211044312, c accuracy is 0.34
At round 10, test loss is: 1.1442, metrics result is [0.7809975], train loss is 1.1727099418640137, c accuracy is 0.32
At round 11, test loss is: 1.0717, metrics result is [0.798612], train loss is 1.1012884378433228, c accuracy is 0.28
At round 12, test loss is: 1.0026, metrics result is [0.8126839], train loss is 1.0327147245407104, c accuracy is 0.27
At round 13, test loss is: 0.9385, metrics result is [0.8252231], train loss is 0.968005895614624, c accuracy is 0.21
At round 14, test loss is: 0.8752, metrics result is [0.8406291], train loss is 0.9043938517570496, c accuracy is 0.16
At round 15, test loss is: 0.8135, metrics result is [0.8529886], train loss is 0.8424859642982483, c accuracy is 0.1
At round 16, test loss is: 0.7535, metrics result is [0.8671137], train loss is 0.782288134098053, c accuracy is 0.06
At round 17, test loss is: 0.6973, metrics result is [0.8759183], train loss is 0.7250481247901917, c accuracy is 0.05
At round 18, test loss is: 0.6432, metrics result is [0.8847852], train loss is 0.6702609062194824, c accuracy is 0.04
At round 19, test loss is: 0.5926, metrics result is [0.8933967], train loss is 0.6186776757240295, c accuracy is 0.02
At round 20, test loss is: 0.5475, metrics result is [0.8988833], train loss is 0.5736749172210693, c accuracy is 0.01
At round 21, test loss is: 0.5079, metrics result is [0.90483546], train loss is 0.5335181951522827, c accuracy is 0.01
At round 22, test loss is: 0.4728, metrics result is [0.91027117], train loss is 0.49797695875167847, c accuracy is 0.01
At round 23, test loss is: 0.4447, metrics result is [0.91312575], train loss is 0.4689129590988159, c accuracy is 0.01
At round 24, test loss is: 0.4212, metrics result is [0.9158667], train loss is 0.4438697099685669, c accuracy is 0.0
At round 25, test loss is: 0.4011, metrics result is [0.9178971], train loss is 0.4235081374645233, c accuracy is 0.0
At round 26, test loss is: 0.3843, metrics result is [0.91858786], train loss is 0.40623894333839417, c accuracy is 0.0
At round 27, test loss is: 0.3700, metrics result is [0.9183745], train loss is 0.391213595867157, c accuracy is 0.0
At round 28, test loss is: 0.3579, metrics result is [0.9206167], train loss is 0.37798136472702026, c accuracy is 0.0
At round 29, test loss is: 0.3475, metrics result is [0.92101514], train loss is 0.3665958046913147, c accuracy is 0.0
At round 30, test loss is: 0.3372, metrics result is [0.9221009], train loss is 0.3559226989746094, c accuracy is 0.0
At round 31, test loss is: 0.3287, metrics result is [0.9228199], train loss is 0.34710198640823364, c accuracy is 0.0
At round 32, test loss is: 0.3197, metrics result is [0.9239315], train loss is 0.33881568908691406, c accuracy is 0.0
At round 33, test loss is: 0.3124, metrics result is [0.924753], train loss is 0.33149951696395874, c accuracy is 0.0
At round 34, test loss is: 0.3057, metrics result is [0.9261568], train loss is 0.3242477476596832, c accuracy is 0.0
At round 35, test loss is: 0.2998, metrics result is [0.9267962], train loss is 0.3178028166294098, c accuracy is 0.0
At round 36, test loss is: 0.2943, metrics result is [0.9275956], train loss is 0.3120166063308716, c accuracy is 0.0
At round 37, test loss is: 0.2895, metrics result is [0.9278911], train loss is 0.3067599833011627, c accuracy is 0.0
At round 38, test loss is: 0.2846, metrics result is [0.92912376], train loss is 0.3017455041408539, c accuracy is 0.0
At round 39, test loss is: 0.2797, metrics result is [0.92969817], train loss is 0.296916127204895, c accuracy is 0.0
At round 40, test loss is: 0.2754, metrics result is [0.9304192], train loss is 0.29262033104896545, c accuracy is 0.0
At round 41, test loss is: 0.2732, metrics result is [0.9304911], train loss is 0.2901766300201416, c accuracy is 0.0
At round 42, test loss is: 0.2710, metrics result is [0.9313204], train loss is 0.2878844439983368, c accuracy is 0.0
At round 43, test loss is: 0.2690, metrics result is [0.9315264], train loss is 0.2859089970588684, c accuracy is 0.0
At round 44, test loss is: 0.2669, metrics result is [0.9322343], train loss is 0.2837282717227936, c accuracy is 0.0
At round 45, test loss is: 0.2651, metrics result is [0.93274045], train loss is 0.2816961407661438, c accuracy is 0.0
At round 46, test loss is: 0.2634, metrics result is [0.9325524], train loss is 0.27984750270843506, c accuracy is 0.0
At round 47, test loss is: 0.2616, metrics result is [0.93264425], train loss is 0.2779465615749359, c accuracy is 0.0
At round 48, test loss is: 0.2598, metrics result is [0.9326449], train loss is 0.27616947889328003, c accuracy is 0.0
At round 49, test loss is: 0.2584, metrics result is [0.93295586], train loss is 0.274383544921875, c accuracy is 0.0
At round 50, test loss is: 0.2566, metrics result is [0.9333648], train loss is 0.27276623249053955, c accuracy is 0.0
At round 51, test loss is: 0.2552, metrics result is [0.93357635], train loss is 0.2710203230381012, c accuracy is 0.0
At round 52, test loss is: 0.2536, metrics result is [0.9336678], train loss is 0.2694326341152191, c accuracy is 0.0
At round 53, test loss is: 0.2520, metrics result is [0.9339651], train loss is 0.2678830027580261, c accuracy is 0.0
At round 54, test loss is: 0.2509, metrics result is [0.93396413], train loss is 0.2664707899093628, c accuracy is 0.0
At round 55, test loss is: 0.2495, metrics result is [0.93427956], train loss is 0.2649168074131012, c accuracy is 0.0
At round 56, test loss is: 0.2479, metrics result is [0.9346932], train loss is 0.26345378160476685, c accuracy is 0.0
At round 57, test loss is: 0.2465, metrics result is [0.93437296], train loss is 0.2620686888694763, c accuracy is 0.0
At round 58, test loss is: 0.2451, metrics result is [0.934782], train loss is 0.2606818377971649, c accuracy is 0.0
At round 59, test loss is: 0.2440, metrics result is [0.93538404], train loss is 0.2593804597854614, c accuracy is 0.0
At round 60, test loss is: 0.2425, metrics result is [0.93539137], train loss is 0.25794345140457153, c accuracy is 0.0
At round 61, test loss is: 0.2413, metrics result is [0.9348798], train loss is 0.2567099928855896, c accuracy is 0.0
At round 62, test loss is: 0.2402, metrics result is [0.9353942], train loss is 0.2554469406604767, c accuracy is 0.0
At round 63, test loss is: 0.2390, metrics result is [0.9351798], train loss is 0.2542080283164978, c accuracy is 0.0
At round 64, test loss is: 0.2377, metrics result is [0.9353602], train loss is 0.2530389428138733, c accuracy is 0.0
At round 65, test loss is: 0.2366, metrics result is [0.9361791], train loss is 0.2517973780632019, c accuracy is 0.0
At round 66, test loss is: 0.2355, metrics result is [0.935889], train loss is 0.25073254108428955, c accuracy is 0.0
At round 67, test loss is: 0.2344, metrics result is [0.9370086], train loss is 0.24964018166065216, c accuracy is 0.0
At round 68, test loss is: 0.2335, metrics result is [0.93648124], train loss is 0.24856357276439667, c accuracy is 0.0
At round 69, test loss is: 0.2327, metrics result is [0.93699956], train loss is 0.24759742617607117, c accuracy is 0.0
At round 70, test loss is: 0.2316, metrics result is [0.9379234], train loss is 0.2465374618768692, c accuracy is 0.0
At round 71, test loss is: 0.2305, metrics result is [0.9367724], train loss is 0.2455693781375885, c accuracy is 0.0
At round 72, test loss is: 0.2294, metrics result is [0.93727547], train loss is 0.24462920427322388, c accuracy is 0.0
At round 73, test loss is: 0.2287, metrics result is [0.938003], train loss is 0.24360127747058868, c accuracy is 0.0
At round 74, test loss is: 0.2280, metrics result is [0.93830836], train loss is 0.24261407554149628, c accuracy is 0.0
At round 75, test loss is: 0.2273, metrics result is [0.93779165], train loss is 0.24172945320606232, c accuracy is 0.0
At round 76, test loss is: 0.2263, metrics result is [0.93892753], train loss is 0.24082767963409424, c accuracy is 0.0
At round 77, test loss is: 0.2253, metrics result is [0.9390046], train loss is 0.2398674339056015, c accuracy is 0.0
At round 78, test loss is: 0.2247, metrics result is [0.9389937], train loss is 0.23904648423194885, c accuracy is 0.0
At round 79, test loss is: 0.2239, metrics result is [0.9389031], train loss is 0.23823417723178864, c accuracy is 0.0
At round 80, test loss is: 0.2229, metrics result is [0.93991196], train loss is 0.2373443841934204, c accuracy is 0.0
At round 81, test loss is: 0.2221, metrics result is [0.93982947], train loss is 0.23646289110183716, c accuracy is 0.0
At round 82, test loss is: 0.2213, metrics result is [0.939914], train loss is 0.23560528457164764, c accuracy is 0.0
At round 83, test loss is: 0.2206, metrics result is [0.93950063], train loss is 0.23479457199573517, c accuracy is 0.0
At round 84, test loss is: 0.2196, metrics result is [0.93989325], train loss is 0.23400011658668518, c accuracy is 0.0
At round 85, test loss is: 0.2192, metrics result is [0.9397021], train loss is 0.23326358199119568, c accuracy is 0.0
At round 86, test loss is: 0.2182, metrics result is [0.940319], train loss is 0.23239076137542725, c accuracy is 0.0
At round 87, test loss is: 0.2176, metrics result is [0.9403272], train loss is 0.23163174092769623, c accuracy is 0.0
At round 88, test loss is: 0.2170, metrics result is [0.94114596], train loss is 0.23086288571357727, c accuracy is 0.0
At round 89, test loss is: 0.2163, metrics result is [0.940419], train loss is 0.2301475703716278, c accuracy is 0.0
At round 90, test loss is: 0.2157, metrics result is [0.9408234], train loss is 0.22941984236240387, c accuracy is 0.0
At round 91, test loss is: 0.2149, metrics result is [0.9411411], train loss is 0.22876419126987457, c accuracy is 0.0
At round 92, test loss is: 0.2143, metrics result is [0.9413447], train loss is 0.22808566689491272, c accuracy is 0.0
At round 93, test loss is: 0.2136, metrics result is [0.94143593], train loss is 0.22727617621421814, c accuracy is 0.0
At round 94, test loss is: 0.2128, metrics result is [0.94183517], train loss is 0.22655192017555237, c accuracy is 0.0
At round 95, test loss is: 0.2121, metrics result is [0.9418327], train loss is 0.22592778503894806, c accuracy is 0.0
At round 96, test loss is: 0.2113, metrics result is [0.9421235], train loss is 0.22522538900375366, c accuracy is 0.0
At round 97, test loss is: 0.2108, metrics result is [0.94213295], train loss is 0.22461314499378204, c accuracy is 0.0
At round 98, test loss is: 0.2102, metrics result is [0.94223404], train loss is 0.22401760518550873, c accuracy is 0.0
At round 99, test loss is: 0.2094, metrics result is [0.94202995], train loss is 0.22338983416557312, c accuracy is 0.0
At round 100, test loss is: 0.2088, metrics result is [0.94242895], train loss is 0.2226608693599701, c accuracy is 0.0
At round 101, test loss is: 0.2086, metrics result is [0.94262624], train loss is 0.2221190631389618, c accuracy is 0.0
At round 102, test loss is: 0.2078, metrics result is [0.9423323], train loss is 0.22149747610092163, c accuracy is 0.0
At round 103, test loss is: 0.2074, metrics result is [0.9423405], train loss is 0.22086168825626373, c accuracy is 0.0
At round 104, test loss is: 0.2068, metrics result is [0.9423423], train loss is 0.2202187180519104, c accuracy is 0.0
At round 105, test loss is: 0.2063, metrics result is [0.9425463], train loss is 0.21961334347724915, c accuracy is 0.0
At round 106, test loss is: 0.2060, metrics result is [0.9429588], train loss is 0.21909639239311218, c accuracy is 0.0
At round 107, test loss is: 0.2054, metrics result is [0.9424427], train loss is 0.21858766674995422, c accuracy is 0.0
At round 108, test loss is: 0.2045, metrics result is [0.9428375], train loss is 0.2179490029811859, c accuracy is 0.0
At round 109, test loss is: 0.2042, metrics result is [0.94243217], train loss is 0.21737276017665863, c accuracy is 0.0
