At round 0, test loss is: 2.2320, metrics result is [0.18754044], train loss is 2.2266035079956055
At round 1, test loss is: 2.2008, metrics result is [0.1996979], train loss is 2.1954030990600586
At round 2, test loss is: 2.1729, metrics result is [0.21635213], train loss is 2.1682398319244385
At round 3, test loss is: 2.1446, metrics result is [0.23197454], train loss is 2.1406800746917725
At round 4, test loss is: 2.1171, metrics result is [0.24733144], train loss is 2.114281415939331
At round 5, test loss is: 2.0906, metrics result is [0.26180038], train loss is 2.0880093574523926
At round 6, test loss is: 2.0645, metrics result is [0.28294042], train loss is 2.0635087490081787
At round 7, test loss is: 2.0376, metrics result is [0.30344883], train loss is 2.0376241207122803
At round 8, test loss is: 2.0135, metrics result is [0.3253173], train loss is 2.014129161834717
At round 9, test loss is: 1.9888, metrics result is [0.3442683], train loss is 1.9898837804794312
At round 10, test loss is: 1.9655, metrics result is [0.36710617], train loss is 1.967253565788269
At round 11, test loss is: 1.9420, metrics result is [0.38827735], train loss is 1.9446532726287842
At round 12, test loss is: 1.9176, metrics result is [0.41204548], train loss is 1.9211615324020386
At round 13, test loss is: 1.8960, metrics result is [0.43418968], train loss is 1.8995479345321655
At round 14, test loss is: 1.8734, metrics result is [0.4543092], train loss is 1.8780533075332642
At round 15, test loss is: 1.8507, metrics result is [0.47258392], train loss is 1.8563722372055054
At round 16, test loss is: 1.8294, metrics result is [0.49382877], train loss is 1.8355844020843506
At round 17, test loss is: 1.8082, metrics result is [0.512796], train loss is 1.815443754196167
At round 18, test loss is: 1.7887, metrics result is [0.52658117], train loss is 1.7961676120758057
At round 19, test loss is: 1.7678, metrics result is [0.54552495], train loss is 1.7757623195648193
At round 20, test loss is: 1.7478, metrics result is [0.5628355], train loss is 1.7566921710968018
At round 21, test loss is: 1.7288, metrics result is [0.57628286], train loss is 1.7380484342575073
At round 22, test loss is: 1.7099, metrics result is [0.59680563], train loss is 1.719011664390564
At round 23, test loss is: 1.6905, metrics result is [0.60697013], train loss is 1.701460361480713
At round 24, test loss is: 1.6720, metrics result is [0.62394786], train loss is 1.682961106300354
At round 25, test loss is: 1.6528, metrics result is [0.6366337], train loss is 1.6646904945373535
At round 26, test loss is: 1.6358, metrics result is [0.64749855], train loss is 1.6477267742156982
At round 27, test loss is: 1.6171, metrics result is [0.6600101], train loss is 1.6296876668930054
At round 28, test loss is: 1.6001, metrics result is [0.6709431], train loss is 1.6136366128921509
