At round 0, test loss is: 2.2671, metrics result is [0.15746234], train loss is 2.259866952896118
At round 1, test loss is: 2.2253, metrics result is [0.19179125], train loss is 2.213016986846924
At round 2, test loss is: 2.1862, metrics result is [0.22999014], train loss is 2.1671926975250244
At round 3, test loss is: 2.1487, metrics result is [0.26554114], train loss is 2.1224470138549805
At round 4, test loss is: 2.1110, metrics result is [0.2983262], train loss is 2.080749988555908
At round 5, test loss is: 2.0747, metrics result is [0.33304912], train loss is 2.0384786128997803
At round 6, test loss is: 2.0396, metrics result is [0.3618753], train loss is 1.9966490268707275
At round 7, test loss is: 2.0035, metrics result is [0.38526762], train loss is 1.9554437398910522
At round 8, test loss is: 1.9692, metrics result is [0.40642115], train loss is 1.9148615598678589
At round 9, test loss is: 1.9353, metrics result is [0.43101466], train loss is 1.8757140636444092
At round 10, test loss is: 1.9027, metrics result is [0.4474035], train loss is 1.837098240852356
At round 11, test loss is: 1.8680, metrics result is [0.4636382], train loss is 1.797560453414917
At round 12, test loss is: 1.8360, metrics result is [0.48137066], train loss is 1.7605623006820679
At round 13, test loss is: 1.8043, metrics result is [0.50095564], train loss is 1.7247358560562134
At round 14, test loss is: 1.7720, metrics result is [0.5131552], train loss is 1.6876035928726196
At round 15, test loss is: 1.7401, metrics result is [0.5268817], train loss is 1.6520079374313354
At round 16, test loss is: 1.7113, metrics result is [0.5416127], train loss is 1.6173908710479736
At round 17, test loss is: 1.6807, metrics result is [0.55161464], train loss is 1.5834965705871582
At round 18, test loss is: 1.6520, metrics result is [0.5607126], train loss is 1.5504499673843384
At round 19, test loss is: 1.6236, metrics result is [0.5715663], train loss is 1.5181916952133179
At round 20, test loss is: 1.5953, metrics result is [0.58358616], train loss is 1.4865003824234009
At round 21, test loss is: 1.5697, metrics result is [0.58917487], train loss is 1.4564414024353027
At round 22, test loss is: 1.5430, metrics result is [0.59713113], train loss is 1.4256482124328613
At round 23, test loss is: 1.5173, metrics result is [0.6060998], train loss is 1.396723747253418
At round 24, test loss is: 1.4925, metrics result is [0.6131323], train loss is 1.3692939281463623
At round 25, test loss is: 1.4681, metrics result is [0.6151949], train loss is 1.3414000272750854
At round 26, test loss is: 1.4453, metrics result is [0.62645197], train loss is 1.3155380487442017
At round 27, test loss is: 1.4220, metrics result is [0.63408864], train loss is 1.2892500162124634
At round 28, test loss is: 1.3999, metrics result is [0.64186555], train loss is 1.2640379667282104
At round 29, test loss is: 1.3773, metrics result is [0.6465441], train loss is 1.2404004335403442
At round 30, test loss is: 1.3555, metrics result is [0.6556433], train loss is 1.2168171405792236
At round 31, test loss is: 1.3348, metrics result is [0.662384], train loss is 1.19431734085083
At round 32, test loss is: 1.3132, metrics result is [0.67066413], train loss is 1.171342372894287
At round 33, test loss is: 1.2942, metrics result is [0.6752712], train loss is 1.1497628688812256
At round 34, test loss is: 1.2735, metrics result is [0.6829265], train loss is 1.128230094909668
At round 35, test loss is: 1.2546, metrics result is [0.68665123], train loss is 1.1069955825805664
At round 36, test loss is: 1.2370, metrics result is [0.69393], train loss is 1.086907982826233
At round 37, test loss is: 1.2200, metrics result is [0.6987199], train loss is 1.0671496391296387
At round 38, test loss is: 1.2039, metrics result is [0.70316964], train loss is 1.0487942695617676
At round 39, test loss is: 1.1874, metrics result is [0.7075013], train loss is 1.0296943187713623
At round 40, test loss is: 1.1706, metrics result is [0.71361625], train loss is 1.0119296312332153
At round 41, test loss is: 1.1554, metrics result is [0.71566725], train loss is 0.9943774938583374
