At round 1, test_loss is 2.3257, accuracy is 0.146030, max_norm is 0.1069, mean_norm is 0.0412
At round 2, test_loss is 2.2807, accuracy is 0.165717, max_norm is 0.1021, mean_norm is 0.0391
At round 3, test_loss is 2.2393, accuracy is 0.182018, max_norm is 0.0994, mean_norm is 0.0375
At round 4, test_loss is 2.2004, accuracy is 0.201918, max_norm is 0.1002, mean_norm is 0.0364
At round 5, test_loss is 2.1636, accuracy is 0.223370, max_norm is 0.1031, mean_norm is 0.0354
At round 6, test_loss is 2.1285, accuracy is 0.249472, max_norm is 0.1045, mean_norm is 0.0345
At round 7, test_loss is 2.0948, accuracy is 0.277402, max_norm is 0.1095, mean_norm is 0.0338
At round 8, test_loss is 2.0623, accuracy is 0.307259, max_norm is 0.1064, mean_norm is 0.0333
At round 9, test_loss is 2.0308, accuracy is 0.333799, max_norm is 0.0989, mean_norm is 0.0327
At round 10, test_loss is 2.0002, accuracy is 0.361973, max_norm is 0.0994, mean_norm is 0.0323
At round 11, test_loss is 1.9705, accuracy is 0.391072, max_norm is 0.0957, mean_norm is 0.0318
At round 12, test_loss is 1.9417, accuracy is 0.415830, max_norm is 0.0989, mean_norm is 0.0313
At round 13, test_loss is 1.9135, accuracy is 0.442047, max_norm is 0.0954, mean_norm is 0.0310
At round 14, test_loss is 1.8860, accuracy is 0.464485, max_norm is 0.1018, mean_norm is 0.0306
At round 15, test_loss is 1.8592, accuracy is 0.488301, max_norm is 0.0940, mean_norm is 0.0303
At round 16, test_loss is 1.8330, accuracy is 0.506671, max_norm is 0.0991, mean_norm is 0.0300
At round 17, test_loss is 1.8074, accuracy is 0.526011, max_norm is 0.0957, mean_norm is 0.0296
At round 18, test_loss is 1.7823, accuracy is 0.543579, max_norm is 0.0950, mean_norm is 0.0293
At round 19, test_loss is 1.7577, accuracy is 0.558512, max_norm is 0.0955, mean_norm is 0.0290
At round 20, test_loss is 1.7336, accuracy is 0.575621, max_norm is 0.0977, mean_norm is 0.0288
At round 21, test_loss is 1.7098, accuracy is 0.590308, max_norm is 0.0949, mean_norm is 0.0286
At round 22, test_loss is 1.6865, accuracy is 0.601153, max_norm is 0.0957, mean_norm is 0.0283
At round 23, test_loss is 1.6636, accuracy is 0.613615, max_norm is 0.0962, mean_norm is 0.0280
At round 24, test_loss is 1.6411, accuracy is 0.624977, max_norm is 0.0940, mean_norm is 0.0278
At round 25, test_loss is 1.6190, accuracy is 0.636103, max_norm is 0.0940, mean_norm is 0.0275
At round 26, test_loss is 1.5973, accuracy is 0.645166, max_norm is 0.0960, mean_norm is 0.0272
At round 27, test_loss is 1.5760, accuracy is 0.651454, max_norm is 0.0946, mean_norm is 0.0271
At round 28, test_loss is 1.5550, accuracy is 0.659053, max_norm is 0.0960, mean_norm is 0.0268
At round 29, test_loss is 1.5345, accuracy is 0.666903, max_norm is 0.0956, mean_norm is 0.0266
At round 30, test_loss is 1.5142, accuracy is 0.674870, max_norm is 0.0935, mean_norm is 0.0264
At round 31, test_loss is 1.4943, accuracy is 0.681416, max_norm is 0.0924, mean_norm is 0.0261
At round 32, test_loss is 1.4749, accuracy is 0.687301, max_norm is 0.0949, mean_norm is 0.0258
At round 33, test_loss is 1.4558, accuracy is 0.691983, max_norm is 0.0969, mean_norm is 0.0256
At round 34, test_loss is 1.4372, accuracy is 0.697330, max_norm is 0.0925, mean_norm is 0.0253
At round 35, test_loss is 1.4188, accuracy is 0.703022, max_norm is 0.0957, mean_norm is 0.0251
At round 36, test_loss is 1.4009, accuracy is 0.709113, max_norm is 0.0920, mean_norm is 0.0248
At round 37, test_loss is 1.3833, accuracy is 0.713512, max_norm is 0.0952, mean_norm is 0.0246
At round 38, test_loss is 1.3661, accuracy is 0.719376, max_norm is 0.0939, mean_norm is 0.0242
At round 39, test_loss is 1.3492, accuracy is 0.722658, max_norm is 0.0929, mean_norm is 0.0240
At round 40, test_loss is 1.3327, accuracy is 0.726092, max_norm is 0.0940, mean_norm is 0.0238
At round 41, test_loss is 1.3165, accuracy is 0.730727, max_norm is 0.0920, mean_norm is 0.0236
At round 42, test_loss is 1.3007, accuracy is 0.734617, max_norm is 0.0906, mean_norm is 0.0233
At round 43, test_loss is 1.2851, accuracy is 0.739092, max_norm is 0.0883, mean_norm is 0.0231
