At round 0, test loss is: 2.2684, metrics result is [0.1745391], train loss is 2.2460296154022217
At round 1, test loss is: 2.2283, metrics result is [0.19144155], train loss is 2.2099905014038086
At round 2, test loss is: 2.1936, metrics result is [0.21252549], train loss is 2.175051212310791
At round 3, test loss is: 2.1606, metrics result is [0.22886394], train loss is 2.140889883041382
At round 4, test loss is: 2.1273, metrics result is [0.25085935], train loss is 2.1119847297668457
At round 5, test loss is: 2.0967, metrics result is [0.2719606], train loss is 2.0807056427001953
At round 6, test loss is: 2.0664, metrics result is [0.2997614], train loss is 2.050081968307495
At round 7, test loss is: 2.0371, metrics result is [0.32594514], train loss is 2.021817684173584
At round 8, test loss is: 2.0095, metrics result is [0.3507629], train loss is 1.9941984415054321
At round 9, test loss is: 1.9828, metrics result is [0.37923092], train loss is 1.9685630798339844
At round 10, test loss is: 1.9564, metrics result is [0.40404853], train loss is 1.941667914390564
At round 11, test loss is: 1.9292, metrics result is [0.42982146], train loss is 1.9160722494125366
At round 12, test loss is: 1.9042, metrics result is [0.45517448], train loss is 1.8915141820907593
At round 13, test loss is: 1.8804, metrics result is [0.477252], train loss is 1.8691149950027466
At round 14, test loss is: 1.8545, metrics result is [0.496662], train loss is 1.84324312210083
At round 15, test loss is: 1.8304, metrics result is [0.517173], train loss is 1.8200808763504028
At round 16, test loss is: 1.8094, metrics result is [0.53435916], train loss is 1.7977735996246338
At round 17, test loss is: 1.7834, metrics result is [0.5540086], train loss is 1.773862361907959
At round 18, test loss is: 1.7612, metrics result is [0.5677111], train loss is 1.7512744665145874
At round 19, test loss is: 1.7406, metrics result is [0.58154255], train loss is 1.7308549880981445
At round 20, test loss is: 1.7187, metrics result is [0.59625894], train loss is 1.7102065086364746
At round 21, test loss is: 1.6970, metrics result is [0.6088367], train loss is 1.6879104375839233
At round 22, test loss is: 1.6758, metrics result is [0.6191237], train loss is 1.6666356325149536
At round 23, test loss is: 1.6546, metrics result is [0.63354975], train loss is 1.645932674407959
At round 24, test loss is: 1.6349, metrics result is [0.64281625], train loss is 1.6270312070846558
At round 25, test loss is: 1.6143, metrics result is [0.6511128], train loss is 1.6065515279769897
At round 26, test loss is: 1.5966, metrics result is [0.6564723], train loss is 1.589501142501831
At round 27, test loss is: 1.5739, metrics result is [0.6677139], train loss is 1.5676785707473755
At round 28, test loss is: 1.5557, metrics result is [0.6771001], train loss is 1.5495103597640991
At round 29, test loss is: 1.5374, metrics result is [0.6847703], train loss is 1.5305272340774536
At round 30, test loss is: 1.5193, metrics result is [0.68813396], train loss is 1.5122758150100708
At round 31, test loss is: 1.5023, metrics result is [0.6954477], train loss is 1.4957499504089355
At round 32, test loss is: 1.4828, metrics result is [0.70447326], train loss is 1.4777767658233643
At round 33, test loss is: 1.4653, metrics result is [0.70835745], train loss is 1.459915041923523
At round 34, test loss is: 1.4481, metrics result is [0.711911], train loss is 1.4437004327774048
At round 35, test loss is: 1.4305, metrics result is [0.72030884], train loss is 1.4260333776474
At round 36, test loss is: 1.4136, metrics result is [0.7264726], train loss is 1.4095909595489502
At round 37, test loss is: 1.3978, metrics result is [0.7285991], train loss is 1.3929247856140137
At round 38, test loss is: 1.3827, metrics result is [0.73176503], train loss is 1.378568410873413
At round 39, test loss is: 1.3669, metrics result is [0.7362134], train loss is 1.362557053565979
At round 40, test loss is: 1.3507, metrics result is [0.73963875], train loss is 1.3467345237731934
At round 41, test loss is: 1.3357, metrics result is [0.7414756], train loss is 1.331957221031189
At round 42, test loss is: 1.3201, metrics result is [0.7470981], train loss is 1.3163514137268066
At round 43, test loss is: 1.3045, metrics result is [0.752986], train loss is 1.301121711730957
At round 44, test loss is: 1.2909, metrics result is [0.75612146], train loss is 1.287049412727356
At round 45, test loss is: 1.2766, metrics result is [0.7592615], train loss is 1.273720622062683
At round 46, test loss is: 1.2627, metrics result is [0.7610112], train loss is 1.259800672531128
At round 47, test loss is: 1.2465, metrics result is [0.7663725], train loss is 1.2444792985916138
At round 48, test loss is: 1.2354, metrics result is [0.7719419], train loss is 1.2323628664016724
At round 49, test loss is: 1.2194, metrics result is [0.77380544], train loss is 1.2186871767044067
At round 50, test loss is: 1.2099, metrics result is [0.7743925], train loss is 1.2069981098175049
At round 51, test loss is: 1.1972, metrics result is [0.7769458], train loss is 1.1944156885147095
At round 52, test loss is: 1.1836, metrics result is [0.78034073], train loss is 1.1826510429382324
At round 53, test loss is: 1.1728, metrics result is [0.783633], train loss is 1.170803189277649
At round 54, test loss is: 1.1621, metrics result is [0.784793], train loss is 1.1591691970825195
At round 55, test loss is: 1.1486, metrics result is [0.7884353], train loss is 1.1474765539169312
At round 56, test loss is: 1.1364, metrics result is [0.7903909], train loss is 1.1353676319122314
At round 57, test loss is: 1.1259, metrics result is [0.79088765], train loss is 1.1245595216751099
