At round 0, test loss is: 2.2645, metrics result is [0.1594926], train loss is 2.246065616607666
At round 1, test loss is: 2.1851, metrics result is [0.2103991], train loss is 2.1537015438079834
At round 2, test loss is: 2.1165, metrics result is [0.25328043], train loss is 2.0719518661499023
At round 3, test loss is: 2.0570, metrics result is [0.29471484], train loss is 1.998234748840332
At round 4, test loss is: 2.0014, metrics result is [0.3330137], train loss is 1.9340460300445557
At round 5, test loss is: 1.9514, metrics result is [0.36598328], train loss is 1.8742828369140625
At round 6, test loss is: 1.9066, metrics result is [0.38936698], train loss is 1.819450855255127
At round 7, test loss is: 1.8642, metrics result is [0.4097975], train loss is 1.7688926458358765
At round 8, test loss is: 1.8252, metrics result is [0.42838094], train loss is 1.722075343132019
At round 9, test loss is: 1.7883, metrics result is [0.44827777], train loss is 1.679154634475708
At round 10, test loss is: 1.7539, metrics result is [0.46867517], train loss is 1.6381464004516602
At round 11, test loss is: 1.7214, metrics result is [0.48564857], train loss is 1.6000792980194092
At round 12, test loss is: 1.6909, metrics result is [0.4983004], train loss is 1.5642200708389282
At round 13, test loss is: 1.6603, metrics result is [0.51811576], train loss is 1.5305161476135254
At round 14, test loss is: 1.6314, metrics result is [0.5316084], train loss is 1.4973660707473755
At round 15, test loss is: 1.6046, metrics result is [0.54479635], train loss is 1.466482400894165
At round 16, test loss is: 1.5793, metrics result is [0.5553347], train loss is 1.4364726543426514
At round 17, test loss is: 1.5535, metrics result is [0.56790644], train loss is 1.4087462425231934
At round 18, test loss is: 1.5291, metrics result is [0.57875496], train loss is 1.3818055391311646
At round 19, test loss is: 1.5055, metrics result is [0.58887875], train loss is 1.3555612564086914
At round 20, test loss is: 1.4829, metrics result is [0.6014408], train loss is 1.3307008743286133
At round 21, test loss is: 1.4628, metrics result is [0.6082351], train loss is 1.307053804397583
At round 22, test loss is: 1.4415, metrics result is [0.62122494], train loss is 1.2837660312652588
At round 23, test loss is: 1.4218, metrics result is [0.6278294], train loss is 1.2616779804229736
At round 24, test loss is: 1.4019, metrics result is [0.6364904], train loss is 1.2403366565704346
At round 25, test loss is: 1.3832, metrics result is [0.6409368], train loss is 1.2200121879577637
At round 26, test loss is: 1.3649, metrics result is [0.6525096], train loss is 1.2002873420715332
At round 27, test loss is: 1.3457, metrics result is [0.6615892], train loss is 1.1807060241699219
At round 28, test loss is: 1.3280, metrics result is [0.6693214], train loss is 1.1621084213256836
At round 29, test loss is: 1.3115, metrics result is [0.6714079], train loss is 1.1447268724441528
At round 30, test loss is: 1.2958, metrics result is [0.6791101], train loss is 1.1275262832641602
At round 31, test loss is: 1.2806, metrics result is [0.68426234], train loss is 1.1111249923706055
At round 32, test loss is: 1.2643, metrics result is [0.6903093], train loss is 1.0946587324142456
At round 33, test loss is: 1.2507, metrics result is [0.6959433], train loss is 1.0792888402938843
At round 34, test loss is: 1.2360, metrics result is [0.7040906], train loss is 1.064138412475586
At round 35, test loss is: 1.2219, metrics result is [0.7071147], train loss is 1.049576997756958
At round 36, test loss is: 1.2091, metrics result is [0.7102023], train loss is 1.0353589057922363
At round 37, test loss is: 1.1959, metrics result is [0.7144489], train loss is 1.0216395854949951
At round 38, test loss is: 1.1837, metrics result is [0.71898496], train loss is 1.0083223581314087
At round 39, test loss is: 1.1723, metrics result is [0.7180203], train loss is 0.9954173564910889
At round 40, test loss is: 1.1602, metrics result is [0.7257175], train loss is 0.9830017685890198
At round 41, test loss is: 1.1494, metrics result is [0.7243165], train loss is 0.9709702134132385
At round 42, test loss is: 1.1384, metrics result is [0.7295894], train loss is 0.9591211080551147
At round 43, test loss is: 1.1280, metrics result is [0.73521703], train loss is 0.947622537612915
At round 44, test loss is: 1.1192, metrics result is [0.7365868], train loss is 0.9368447661399841
At round 45, test loss is: 1.1085, metrics result is [0.74092996], train loss is 0.9257060885429382
At round 46, test loss is: 1.0996, metrics result is [0.74030626], train loss is 0.9153949618339539
At round 47, test loss is: 1.0887, metrics result is [0.74538994], train loss is 0.9050371646881104
At round 48, test loss is: 1.0805, metrics result is [0.74668604], train loss is 0.8952137231826782
At round 49, test loss is: 1.0707, metrics result is [0.7504435], train loss is 0.8856397271156311
At round 50, test loss is: 1.0627, metrics result is [0.75238776], train loss is 0.8759071230888367
At round 51, test loss is: 1.0545, metrics result is [0.7539827], train loss is 0.8667057156562805
At round 52, test loss is: 1.0456, metrics result is [0.7575395], train loss is 0.8577523827552795
At round 53, test loss is: 1.0384, metrics result is [0.758642], train loss is 0.8488941192626953
At round 54, test loss is: 1.0320, metrics result is [0.75983703], train loss is 0.8406781554222107
At round 55, test loss is: 1.0237, metrics result is [0.7625367], train loss is 0.8324388861656189
At round 56, test loss is: 1.0165, metrics result is [0.76366615], train loss is 0.8242473006248474
At round 57, test loss is: 1.0104, metrics result is [0.76573217], train loss is 0.8162130117416382
At round 58, test loss is: 1.0019, metrics result is [0.76641536], train loss is 0.8083846569061279
At round 59, test loss is: 0.9941, metrics result is [0.7688331], train loss is 0.8007186055183411
At round 60, test loss is: 0.9889, metrics result is [0.76854724], train loss is 0.7934383153915405
At round 61, test loss is: 0.9823, metrics result is [0.7702792], train loss is 0.7862924337387085
At round 62, test loss is: 0.9754, metrics result is [0.77235985], train loss is 0.7791736125946045
At round 63, test loss is: 0.9684, metrics result is [0.7730793], train loss is 0.7722854614257812
At round 64, test loss is: 0.9637, metrics result is [0.77502394], train loss is 0.7654306888580322
At round 65, test loss is: 0.9568, metrics result is [0.7759533], train loss is 0.7586479187011719
At round 66, test loss is: 0.9518, metrics result is [0.7778912], train loss is 0.7522451877593994
At round 67, test loss is: 0.9462, metrics result is [0.7770525], train loss is 0.7458135485649109
At round 68, test loss is: 0.9410, metrics result is [0.77845824], train loss is 0.739555299282074
At round 69, test loss is: 0.9346, metrics result is [0.7819117], train loss is 0.733479917049408
At round 70, test loss is: 0.9301, metrics result is [0.78248537], train loss is 0.7273493409156799
At round 71, test loss is: 0.9248, metrics result is [0.78369933], train loss is 0.7214760780334473
At round 72, test loss is: 0.9209, metrics result is [0.7828491], train loss is 0.7157115936279297
At round 73, test loss is: 0.9154, metrics result is [0.7862606], train loss is 0.7100511193275452
At round 74, test loss is: 0.9101, metrics result is [0.7871145], train loss is 0.7044727206230164
At round 75, test loss is: 0.9045, metrics result is [0.78741336], train loss is 0.6987400054931641
At round 76, test loss is: 0.9010, metrics result is [0.7872781], train loss is 0.6935069561004639
