At round 0, test loss is: 2.2029, metrics result is [0.19996975], train loss is 2.2063629627227783, c accuracy is 0.52
At round 1, test loss is: 2.0703, metrics result is [0.35117698], train loss is 2.07663631439209, c accuracy is 0.52
At round 2, test loss is: 1.9437, metrics result is [0.4865137], train loss is 1.9531973600387573, c accuracy is 0.52
At round 3, test loss is: 1.8190, metrics result is [0.57480294], train loss is 1.8311442136764526, c accuracy is 0.51
At round 4, test loss is: 1.7024, metrics result is [0.6377207], train loss is 1.716039776802063, c accuracy is 0.51
At round 5, test loss is: 1.5960, metrics result is [0.67432463], train loss is 1.6105388402938843, c accuracy is 0.51
At round 6, test loss is: 1.5001, metrics result is [0.6956509], train loss is 1.515183925628662, c accuracy is 0.5
At round 7, test loss is: 1.4150, metrics result is [0.7158119], train loss is 1.4301581382751465, c accuracy is 0.5
At round 8, test loss is: 1.3386, metrics result is [0.73546416], train loss is 1.3543808460235596, c accuracy is 0.49
At round 9, test loss is: 1.2703, metrics result is [0.7534324], train loss is 1.2858033180236816, c accuracy is 0.46
At round 10, test loss is: 1.2083, metrics result is [0.7674488], train loss is 1.224094033241272, c accuracy is 0.45
At round 11, test loss is: 1.1530, metrics result is [0.776405], train loss is 1.168634295463562, c accuracy is 0.45
At round 12, test loss is: 1.1016, metrics result is [0.785245], train loss is 1.117061734199524, c accuracy is 0.44
At round 13, test loss is: 1.0537, metrics result is [0.7950892], train loss is 1.0697462558746338, c accuracy is 0.43
At round 14, test loss is: 1.0115, metrics result is [0.80136335], train loss is 1.027492642402649, c accuracy is 0.43
At round 15, test loss is: 0.9725, metrics result is [0.8074502], train loss is 0.9885807633399963, c accuracy is 0.42
At round 16, test loss is: 0.9369, metrics result is [0.8120354], train loss is 0.9530495405197144, c accuracy is 0.39
At round 17, test loss is: 0.9048, metrics result is [0.8162143], train loss is 0.9208685159683228, c accuracy is 0.39
At round 18, test loss is: 0.8742, metrics result is [0.82207084], train loss is 0.8902560472488403, c accuracy is 0.38
At round 19, test loss is: 0.8463, metrics result is [0.82543], train loss is 0.8628183007240295, c accuracy is 0.35
At round 20, test loss is: 0.8204, metrics result is [0.82904434], train loss is 0.8368603587150574, c accuracy is 0.35
At round 21, test loss is: 0.7969, metrics result is [0.8337261], train loss is 0.813281774520874, c accuracy is 0.35
At round 22, test loss is: 0.7740, metrics result is [0.8371317], train loss is 0.7905848026275635, c accuracy is 0.35
At round 23, test loss is: 0.7539, metrics result is [0.83793986], train loss is 0.7709336280822754, c accuracy is 0.36
At round 24, test loss is: 0.7347, metrics result is [0.840881], train loss is 0.7517157196998596, c accuracy is 0.37
At round 25, test loss is: 0.7173, metrics result is [0.8441923], train loss is 0.7340891361236572, c accuracy is 0.38
At round 26, test loss is: 0.7003, metrics result is [0.8480471], train loss is 0.7172329425811768, c accuracy is 0.4
At round 27, test loss is: 0.6850, metrics result is [0.849144], train loss is 0.7019311785697937, c accuracy is 0.39
At round 28, test loss is: 0.6702, metrics result is [0.85082763], train loss is 0.6873313188552856, c accuracy is 0.4
