At round 0, test loss is: 2.3029, metrics result is [0.1582477], train loss is 2.287869453430176
At round 1, test loss is: 2.2747, metrics result is [0.16982071], train loss is 2.26196026802063
At round 2, test loss is: 2.2489, metrics result is [0.18281302], train loss is 2.236154079437256
At round 3, test loss is: 2.2241, metrics result is [0.19417469], train loss is 2.2105636596679688
At round 4, test loss is: 2.1987, metrics result is [0.20625041], train loss is 2.18795108795166
At round 5, test loss is: 2.1747, metrics result is [0.21671082], train loss is 2.1636335849761963
At round 6, test loss is: 2.1508, metrics result is [0.23185997], train loss is 2.1394288539886475
At round 7, test loss is: 2.1276, metrics result is [0.24634323], train loss is 2.11718487739563
At round 8, test loss is: 2.1056, metrics result is [0.25978056], train loss is 2.0951714515686035
At round 9, test loss is: 2.0843, metrics result is [0.27827865], train loss is 2.0743918418884277
At round 10, test loss is: 2.0628, metrics result is [0.29649618], train loss is 2.05283260345459
At round 11, test loss is: 2.0407, metrics result is [0.31449398], train loss is 2.031829833984375
At round 12, test loss is: 2.0205, metrics result is [0.33151352], train loss is 2.012056350708008
At round 13, test loss is: 2.0012, metrics result is [0.3509766], train loss is 1.9934344291687012
At round 14, test loss is: 1.9797, metrics result is [0.36971328], train loss is 1.972197413444519
At round 15, test loss is: 1.9599, metrics result is [0.38996127], train loss is 1.9532496929168701
At round 16, test loss is: 1.9424, metrics result is [0.4064128], train loss is 1.9345630407333374
At round 17, test loss is: 1.9208, metrics result is [0.42796794], train loss is 1.914750337600708
At round 18, test loss is: 1.9029, metrics result is [0.44106773], train loss is 1.8966082334518433
At round 19, test loss is: 1.8856, metrics result is [0.46056166], train loss is 1.879441499710083
At round 20, test loss is: 1.8674, metrics result is [0.4780106], train loss is 1.8624757528305054
At round 21, test loss is: 1.8496, metrics result is [0.49149925], train loss is 1.8441063165664673
At round 22, test loss is: 1.8319, metrics result is [0.50681597], train loss is 1.8264918327331543
At round 23, test loss is: 1.8140, metrics result is [0.5223459], train loss is 1.8091365098953247
At round 24, test loss is: 1.7974, metrics result is [0.5347689], train loss is 1.7933541536331177
At round 25, test loss is: 1.7806, metrics result is [0.5445469], train loss is 1.7763581275939941
At round 26, test loss is: 1.7652, metrics result is [0.55710953], train loss is 1.7617660760879517
At round 27, test loss is: 1.7466, metrics result is [0.56702924], train loss is 1.7438517808914185
At round 28, test loss is: 1.7310, metrics result is [0.581505], train loss is 1.728328824043274
At round 29, test loss is: 1.7155, metrics result is [0.5896982], train loss is 1.7127430438995361
At round 30, test loss is: 1.7004, metrics result is [0.59766996], train loss is 1.6971238851547241
At round 31, test loss is: 1.6859, metrics result is [0.6062851], train loss is 1.6829379796981812
At round 32, test loss is: 1.6695, metrics result is [0.6161201], train loss is 1.667812705039978
At round 33, test loss is: 1.6547, metrics result is [0.62255526], train loss is 1.6527159214019775
At round 34, test loss is: 1.6399, metrics result is [0.63486785], train loss is 1.6385040283203125
At round 35, test loss is: 1.6245, metrics result is [0.6398721], train loss is 1.6236357688903809
At round 36, test loss is: 1.6101, metrics result is [0.64629763], train loss is 1.6091951131820679
At round 37, test loss is: 1.5961, metrics result is [0.6529503], train loss is 1.5946853160858154
At round 38, test loss is: 1.5831, metrics result is [0.6580105], train loss is 1.5821174383163452
At round 39, test loss is: 1.5691, metrics result is [0.6666606], train loss is 1.5679998397827148
At round 40, test loss is: 1.5547, metrics result is [0.67030394], train loss is 1.554057002067566
At round 41, test loss is: 1.5414, metrics result is [0.6757104], train loss is 1.5410103797912598
At round 42, test loss is: 1.5277, metrics result is [0.6822319], train loss is 1.5271724462509155
At round 43, test loss is: 1.5136, metrics result is [0.68762964], train loss is 1.5137929916381836
At round 44, test loss is: 1.5013, metrics result is [0.6913085], train loss is 1.5009456872940063
At round 45, test loss is: 1.4884, metrics result is [0.69444406], train loss is 1.488763689994812
At round 46, test loss is: 1.4758, metrics result is [0.7016015], train loss is 1.4761145114898682
At round 47, test loss is: 1.4615, metrics result is [0.70466787], train loss is 1.4625343084335327
At round 48, test loss is: 1.4506, metrics result is [0.7093692], train loss is 1.451050877571106
At round 49, test loss is: 1.4365, metrics result is [0.71201515], train loss is 1.438735842704773
At round 50, test loss is: 1.4268, metrics result is [0.71419764], train loss is 1.4274985790252686
At round 51, test loss is: 1.4145, metrics result is [0.7185682], train loss is 1.415643334388733
At round 52, test loss is: 1.4023, metrics result is [0.7236687], train loss is 1.40437912940979
At round 53, test loss is: 1.3919, metrics result is [0.7237991], train loss is 1.3932206630706787
At round 54, test loss is: 1.3814, metrics result is [0.7282191], train loss is 1.3820083141326904
At round 55, test loss is: 1.3689, metrics result is [0.7317503], train loss is 1.37068510055542
At round 56, test loss is: 1.3566, metrics result is [0.7337928], train loss is 1.359011173248291
At round 57, test loss is: 1.3469, metrics result is [0.7360759], train loss is 1.3491029739379883
